random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9230357746603355
0,0,0.10,0.9792502319726607
0,0,0.15,0.9325515657767244
0,0,0.20,0.9374969734745473
0,0,0.25,0.9533495790968562
0,0,0.30,0.9796061371841803
0,0,0.35,0.9871374513350495
0,0,0.40,0.9914216868213032
0,0,0.45,0.9911861008798478
0,0,0.50,0.9950481517399236
0,0,0.55,0.9932990977923172
0,0,0.60,0.9819264350478248
0,0,0.65,0.9929215182108422
0,0,0.70,0.9887992524672823
0,0,0.75,0.9911146522522385
0,0,0.80,0.9940118127163691
0,0,0.85,0.9915625339783503
0,0,0.90,0.9948322720452728
0,0,0.95,0.9949703074580648
0,1,0.05,-1.6180316846530225
0,1,0.10,0.9393500916644252
0,1,0.15,0.9000753388247239
0,1,0.20,0.9031098661018663
0,1,0.25,0.9637671945356822
0,1,0.30,0.9576645217000446
0,1,0.35,0.9934299942346909
0,1,0.40,0.993278266547285
0,1,0.45,0.9830006989267939
0,1,0.50,0.9838850085393085
0,1,0.55,0.992515727675307
0,1,0.60,0.9948882875542159
0,1,0.65,0.9847846833348537
0,1,0.70,0.98455014826744
0,1,0.75,0.9949403272093928
0,1,0.80,0.9928118866298149
0,1,0.85,0.9929014597653759
0,1,0.90,0.9957350022590357
0,1,0.95,0.9934147459796439
0,2,0.05,0.12417875401774059
0,2,0.10,0.5058667474863064
0,2,0.15,0.9315138623525433
0,2,0.20,0.9355945240355795
0,2,0.25,0.9498134425330738
0,2,0.30,0.99669008357948
0,2,0.35,0.9865236976379259
0,2,0.40,0.9930398877988527
0,2,0.45,0.9872911987431545
0,2,0.50,0.9959665136996159
0,2,0.55,0.9838969409995394
0,2,0.60,0.9950509603507964
0,2,0.65,0.9794394281600309
0,2,0.70,0.9936986107940764
0,2,0.75,0.9955642013174368
0,2,0.80,0.9939578146566134
0,2,0.85,0.99559109840166
0,2,0.90,0.9907765624701029
0,2,0.95,0.9949761302521566
0,3,0.05,-0.46018467089805304
0,3,0.10,-1.6636679695570717
0,3,0.15,0.9218968085166044
0,3,0.20,0.8709248362073531
0,3,0.25,0.9441457059731806
0,3,0.30,0.9793021425697925
0,3,0.35,0.9710675407026255
0,3,0.40,0.9845925005493465
0,3,0.45,0.990898030907561
0,3,0.50,0.9877577331485432
0,3,0.55,0.9957782464021443
0,3,0.60,0.9948896589803692
0,3,0.65,0.9928212081787755
0,3,0.70,0.9933012312027358
0,3,0.75,0.9918952882061066
0,3,0.80,0.9897419838323349
0,3,0.85,0.996257509450363
0,3,0.90,0.9940330522564205
0,3,0.95,0.9901928899035911
0,4,0.05,-0.7928358832472933
0,4,0.10,0.8595138783969622
0,4,0.15,0.7574783790265509
0,4,0.20,0.9564409453031907
0,4,0.25,0.9642748949751866
0,4,0.30,0.9380037508512822
0,4,0.35,0.9812224084728514
0,4,0.40,0.9900946775485118
0,4,0.45,0.9928504674280498
0,4,0.50,0.9908948153189753
0,4,0.55,0.9913650748792017
0,4,0.60,0.9827545599248478
0,4,0.65,0.9533143789212553
0,4,0.70,0.9856346317957443
0,4,0.75,0.9934822043533785
0,4,0.80,0.9951099854123482
0,4,0.85,0.9947948680851219
0,4,0.90,0.9953430788452038
0,4,0.95,0.9954363353458549
0,5,0.05,0.410278466733638
0,5,0.10,0.7495635284201825
0,5,0.15,0.7239457953092007
0,5,0.20,0.9689098316952771
0,5,0.25,0.9898390232460774
0,5,0.30,0.9846220777939894
0,5,0.35,0.9916524918207139
0,5,0.40,0.9940306702390543
0,5,0.45,0.9882551320650487
0,5,0.50,0.9894463702652916
0,5,0.55,0.9915887500036531
0,5,0.60,0.9914780654606146
0,5,0.65,0.9955931617335936
0,5,0.70,0.9897509161464271
0,5,0.75,0.9873342425051397
0,5,0.80,0.9894844711641738
0,5,0.85,0.9943064830036412
0,5,0.90,0.9829828812277599
0,5,0.95,0.9945643682345193
0,6,0.05,0.8393943806940134
0,6,0.10,0.9120917378403022
0,6,0.15,0.9398358156643238
0,6,0.20,0.9621591773950534
0,6,0.25,0.9633489155939231
0,6,0.30,0.9835743699488619
0,6,0.35,0.9883197907040528
0,6,0.40,0.9774913871945661
0,6,0.45,0.993413129274686
0,6,0.50,0.9943963142713186
0,6,0.55,0.9893349799639566
0,6,0.60,0.9946050670297497
0,6,0.65,0.9954174274125789
0,6,0.70,0.9952610856571311
0,6,0.75,0.9946870900311614
0,6,0.80,0.990802163595069
0,6,0.85,0.9953271689072755
0,6,0.90,0.989681782940368
0,6,0.95,0.9954486046915649
0,7,0.05,0.3085106943893843
0,7,0.10,0.6473317796571874
0,7,0.15,0.9638437438860232
0,7,0.20,0.8741526556074444
0,7,0.25,0.9726728459807795
0,7,0.30,0.9818128408552319
0,7,0.35,0.9947165898048973
0,7,0.40,0.9927460573341436
0,7,0.45,0.9916787290995441
0,7,0.50,0.979325394917463
0,7,0.55,0.9887523365098956
0,7,0.60,0.9929672355095177
0,7,0.65,0.9881662255385762
0,7,0.70,0.9910629125364161
0,7,0.75,0.9933616539061327
0,7,0.80,0.9939386519170179
0,7,0.85,0.9965937776863961
