random_seed,split_seed,sample_ratio,r2
0,0,0.05,-2.563616375464953
0,0,0.10,0.42220094699706
0,0,0.15,0.9118920962848879
0,0,0.20,0.9083861595073819
0,0,0.25,0.7056344560313559
0,0,0.30,0.925124651111145
0,0,0.35,0.06516125591014665
0,0,0.40,0.9016304187117842
0,0,0.45,0.9191767989411688
0,0,0.50,0.8412287517452302
0,0,0.55,0.778873039263707
0,0,0.60,0.8579858000593819
0,0,0.65,0.8684788134863234
0,0,0.70,0.9579376430994905
0,0,0.75,0.9451626544190325
0,0,0.80,0.9025466658890295
0,0,0.85,0.9061660052243428
0,0,0.90,0.882315154278247
0,0,0.95,0.9190017721514246
0,1,0.05,-15.463337583072867
0,1,0.10,0.43426330302216887
0,1,0.15,0.6535037250353549
0,1,0.20,0.8198727656068535
0,1,0.25,0.7565955098083645
0,1,0.30,0.9450889747149158
0,1,0.35,0.14901872452546883
0,1,0.40,0.5917649225005323
0,1,0.45,0.8121170617625313
0,1,0.50,0.9432982026042633
0,1,0.55,0.7320601268694218
0,1,0.60,0.7170149890099272
0,1,0.65,0.8232344213962606
0,1,0.70,0.9251068255444004
0,1,0.75,0.9782672791641536
0,1,0.80,0.9726219275215554
0,1,0.85,0.7830932995672818
0,1,0.90,0.905175111130527
0,1,0.95,0.9817536044314243
0,2,0.05,0.5387468560511912
0,2,0.10,-0.008394905668331232
0,2,0.15,0.8820231109573456
0,2,0.20,0.43473321618919136
0,2,0.25,0.494941855491837
0,2,0.30,0.5018787591436844
0,2,0.35,0.8811073739228056
0,2,0.40,0.7552651707768099
0,2,0.45,0.7506389422752091
0,2,0.50,0.907899319510954
0,2,0.55,0.8122174098750297
0,2,0.60,0.844570237219354
0,2,0.65,0.9218534240679259
0,2,0.70,0.9483085403725333
0,2,0.75,0.9077604885878405
0,2,0.80,0.9700549571119729
0,2,0.85,0.9196636763176869
0,2,0.90,0.8857381999502278
0,2,0.95,0.8186880805459217
0,3,0.05,-8.6702763772871
0,3,0.10,0.8448795566614727
0,3,0.15,0.5683572533464067
0,3,0.20,0.892379319458605
0,3,0.25,0.9198045222911504
0,3,0.30,0.8469884297035161
0,3,0.35,0.8886633851919508
0,3,0.40,0.8539310700461679
0,3,0.45,0.9538308837958129
0,3,0.50,0.8955234143467858
0,3,0.55,0.8964194393234243
0,3,0.60,0.880223969370849
0,3,0.65,0.8326246529602876
0,3,0.70,0.930354877720516
0,3,0.75,0.8767383487696376
0,3,0.80,0.860077050394652
0,3,0.85,0.9838340271249622
0,3,0.90,0.8520896057191673
0,3,0.95,0.8937930716394352
0,4,0.05,0.172726210558651
