random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.8833318982598785
0,0,0.10,0.7462996345545978
0,0,0.15,0.999082317896654
0,0,0.20,0.9972301608997367
0,0,0.25,0.9938606047249792
0,0,0.30,0.9999491698892738
0,0,0.35,0.9906744855457187
0,0,0.40,0.9750587847080123
0,0,0.45,0.9951504661970175
0,0,0.50,0.9999215828109577
0,0,0.55,0.9994100256386196
0,0,0.60,0.9990931677257984
0,0,0.65,0.9997412527688027
0,0,0.70,0.999425724460192
0,0,0.75,0.9997947636935215
0,0,0.80,0.9999611897483177
0,0,0.85,0.9999586987610033
0,0,0.90,0.9999148049618951
0,0,0.95,0.9998801848982622
0,1,0.05,-1.8607982078584633
0,1,0.10,0.9961187689080016
0,1,0.15,0.6455141380329268
0,1,0.20,0.6490983384029648
0,1,0.25,0.9769538948010708
0,1,0.30,0.9998818523675203
0,1,0.35,0.999327787031039
0,1,0.40,0.9992152341758426
0,1,0.45,0.9962087586996505
0,1,0.50,0.9949119121992649
0,1,0.55,0.9950152911410369
0,1,0.60,0.9993323344524849
0,1,0.65,0.9957044299699764
0,1,0.70,0.994882838466803
0,1,0.75,0.9973692837210261
0,1,0.80,0.9987563686689528
0,1,0.85,0.9999047263718048
0,1,0.90,0.9998414223638954
0,1,0.95,0.9998473638427025
0,2,0.05,0.5625679516723785
0,2,0.10,0.9529666418176636
0,2,0.15,0.5544135767638998
0,2,0.20,0.9998058604662299
0,2,0.25,0.982930691356546
0,2,0.30,0.9970588011893832
0,2,0.35,0.9944176514474468
0,2,0.40,0.9989209164721402
0,2,0.45,0.9999237799740373
0,2,0.50,0.9993935358572371
0,2,0.55,0.9999551188804287
0,2,0.60,0.9998882029743611
0,2,0.65,0.9999413394616742
0,2,0.70,0.9995826802293712
0,2,0.75,0.9994496754614602
0,2,0.80,0.9953910377920572
0,2,0.85,0.9999319786732108
0,2,0.90,0.999493846604426
0,2,0.95,0.9996591957465111
0,3,0.05,0.5449601638703945
0,3,0.10,0.997728185334031
0,3,0.15,0.9994701517186209
0,3,0.20,0.9837159587330929
0,3,0.25,0.9940931172589144
0,3,0.30,0.9972779523332943
0,3,0.35,0.9997508097599903
0,3,0.40,0.9955766361834313
0,3,0.45,0.995742163083204
0,3,0.50,0.9999424784689451
0,3,0.55,0.9984603974259643
0,3,0.60,0.9993407076762316
0,3,0.65,0.995263785959511
0,3,0.70,0.9952106235623117
0,3,0.75,0.998294393842091
0,3,0.80,0.9952393333674926
0,3,0.85,0.9998728460333498
0,3,0.90,0.9987635607514391
0,3,0.95,0.9999738530081722
0,4,0.05,0.8181276110184976
0,4,0.10,0.6139423695249259
0,4,0.15,0.9968837670515074
0,4,0.20,0.9825144488830503
0,4,0.25,0.9993806044171447
0,4,0.30,0.9990191270276659
0,4,0.35,0.9783856769799942
0,4,0.40,0.9997773759646722
0,4,0.45,0.9999580790375334
0,4,0.50,0.9974426901648898
0,4,0.55,0.9955668386868386
0,4,0.60,0.9831000571702564
0,4,0.65,0.9954676728149124
0,4,0.70,0.998002037574073
0,4,0.75,0.9999244440306901
0,4,0.80,0.9999081941627515
0,4,0.85,0.9995472248006113
0,4,0.90,0.6411686032816832
0,4,0.95,0.6745813937712584
0,5,0.05,0.3444240296027441
0,5,0.10,0.9976953601315578
0,5,0.15,0.9995545884175248
0,5,0.20,0.7043971301476113
0,5,0.25,0.9944781638964344
0,5,0.30,0.9927649011092563
0,5,0.35,0.9995415919617929
0,5,0.40,0.9993872720810374
0,5,0.45,0.996063282304132
