random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.7465072769425805
0,0,0.10,-11.96052644116205
0,0,0.15,0.5508345945999457
0,0,0.20,0.6295738758986926
0,0,0.25,0.662199742244542
0,0,0.30,0.7948957265189334
0,0,0.35,0.7765542948256803
0,0,0.40,0.7906003138231239
0,0,0.45,0.7350958373381529
0,0,0.50,0.7975483938531087
0,0,0.55,0.8994721307390147
0,0,0.60,0.8613112989405936
0,0,0.65,0.741064598629684
0,0,0.70,0.7609852582208517
0,0,0.75,0.86037291875336
0,0,0.80,0.7367289386276201
0,0,0.85,0.9147202546784697
0,0,0.90,0.9659486247822768
0,0,0.95,0.9658784168417154
0,1,0.05,0.889464338270126
0,1,0.10,0.7139967962176073
0,1,0.15,0.8208943739383349
0,1,0.20,0.7030911580638359
0,1,0.25,0.41719142124614206
0,1,0.30,0.7978176420786874
0,1,0.35,0.8493349594098318
0,1,0.40,0.8138997776838047
0,1,0.45,0.8681684449817862
0,1,0.50,0.7738384013410706
0,1,0.55,0.9056226919549848
0,1,0.60,0.8281317700025146
0,1,0.65,0.7916005091268218
0,1,0.70,0.851694277653978
0,1,0.75,0.8436157333655537
0,1,0.80,0.8730057965748064
0,1,0.85,0.8859989971408432
0,1,0.90,0.9056969606163694
0,1,0.95,0.8858901509571683
0,2,0.05,0.6665515104259707
0,2,0.10,0.5836299405098612
0,2,0.15,-0.4911104181391157
0,2,0.20,0.8587143283872416
0,2,0.25,0.6188214439527733
0,2,0.30,0.8675013213316786
0,2,0.35,0.8753984948423628
0,2,0.40,0.9118951381113046
0,2,0.45,0.8652425501964877
0,2,0.50,0.8264252540049606
0,2,0.55,0.9141103798379216
0,2,0.60,0.7865538042199266
0,2,0.65,0.8388074383320236
0,2,0.70,0.9134800764441267
0,2,0.75,0.7448450733814609
0,2,0.80,0.8971822378177965
0,2,0.85,0.8578452961816728
0,2,0.90,0.8945514060258888
0,2,0.95,0.6015647296051339
0,3,0.05,0.16702045794589326
0,3,0.10,0.8758424511983167
0,3,0.15,-2.679868484660274
0,3,0.20,0.8383097493547947
0,3,0.25,0.9163808896160789
0,3,0.30,0.864866292691727
0,3,0.35,0.9043459051679177
0,3,0.40,0.8732582046000548
0,3,0.45,0.8968189412299317
0,3,0.50,0.9234857326957426
0,3,0.55,0.9562973408022751
0,3,0.60,0.8508237035191619
0,3,0.65,0.8793897326775905
0,3,0.70,0.9557063361934695
0,3,0.75,0.8741189018973702
0,3,0.80,0.9837929645941801
0,3,0.85,0.9400103002374277
0,3,0.90,0.8696658858666946
