random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.330530861640871
0,0,0.10,-0.029239361901238103
0,0,0.15,-0.1575347239868332
0,0,0.20,0.5831070449024632
0,0,0.25,0.638978703088368
0,0,0.30,0.9123805439956343
0,0,0.35,0.8853832770320389
0,0,0.40,0.9502242436842782
0,0,0.45,0.8306023438963018
0,0,0.50,0.9295116950341212
0,0,0.55,0.7731115523622737
0,0,0.60,0.9770483668010459
0,0,0.65,0.985633964512371
0,0,0.70,0.9754946585336629
0,0,0.75,0.9844497987150426
0,0,0.80,0.9711194073803737
0,0,0.85,0.8145789820832325
0,0,0.90,0.9677687094149836
0,0,0.95,0.9855893220937765
0,1,0.05,-1.1076206453536583
0,1,0.10,-0.15476068956815636
0,1,0.15,0.3520932938038591
0,1,0.20,0.4944815919796076
0,1,0.25,0.7896486158835978
0,1,0.30,0.7942442757763682
0,1,0.35,0.948986507514113
0,1,0.40,0.7564131615373453
0,1,0.45,0.759148398330236
0,1,0.50,0.8409556569881133
0,1,0.55,0.975990329569746
0,1,0.60,0.6243774745623629
0,1,0.65,0.866772958067934
0,1,0.70,0.9680855434430583
0,1,0.75,0.9402040541198199
0,1,0.80,0.9825439932102655
0,1,0.85,0.9850474369240202
0,1,0.90,0.9836622547094158
0,1,0.95,0.9804745789117841
0,2,0.05,-0.28828615730556195
0,2,0.10,0.3885614951671619
0,2,0.15,0.8237658988400658
0,2,0.20,0.828338874469895
0,2,0.25,0.8698658450283865
0,2,0.30,0.8164203608112489
0,2,0.35,0.5728772509175257
0,2,0.40,0.9592787821977498
0,2,0.45,0.8456118888756159
0,2,0.50,0.9803297015504763
0,2,0.55,0.6881794292762105
0,2,0.60,0.969567074036309
0,2,0.65,0.9839671316221681
0,2,0.70,0.9561959895257572
0,2,0.75,0.9137088442833998
0,2,0.80,0.9830299446661317
0,2,0.85,0.9696553742146135
0,2,0.90,0.9841731804277231
0,2,0.95,0.8891600676381441
0,3,0.05,-4.973930509828415
0,3,0.10,0.6844526419607998
0,3,0.15,0.08484968645156343
0,3,0.20,0.9025057843248092
0,3,0.25,0.8090705550817062
0,3,0.30,0.9449719287041688
0,3,0.35,0.6590133535594508
0,3,0.40,0.9659864995512759
0,3,0.45,0.7763895722231349
0,3,0.50,0.9421028729737778
0,3,0.55,0.9302127713020748
0,3,0.60,0.9749384751372822
0,3,0.65,0.9719296628563178
0,3,0.70,0.9461254493950583
0,3,0.75,0.8871816309867356
0,3,0.80,0.814312126297256
0,3,0.85,0.8822283275167362
0,3,0.90,0.9147153546939739
0,3,0.95,0.9656391556278722
0,4,0.05,-5.667917230600742
0,4,0.10,0.10194078270909401
0,4,0.15,0.8030896065998415
0,4,0.20,0.9213256303124753
0,4,0.25,0.771087871059783
0,4,0.30,0.7374678646698754
0,4,0.35,0.88869111116016
0,4,0.40,0.733470071500594
0,4,0.45,0.9228021477326698
0,4,0.50,0.9691191246388603
0,4,0.55,0.961746510653158
0,4,0.60,0.8996366117484539
0,4,0.65,0.9680346476380897
0,4,0.70,0.9648395351484983
0,4,0.75,0.9791152902727168
0,4,0.80,0.9518952751546031
0,4,0.85,0.9833849873668594
0,4,0.90,0.8013102325329361
0,4,0.95,0.9814328010944474
0,5,0.05,0.44571372838710643
0,5,0.10,0.5555607299174267
0,5,0.15,0.7522760098438677
0,5,0.20,0.871241376011515
0,5,0.25,0.905378093415368
0,5,0.30,0.6749239703960315
0,5,0.35,0.9780880641678826
0,5,0.40,0.9224801332351936
0,5,0.45,0.9611719342017121
0,5,0.50,0.9314602154115903
0,5,0.55,0.9802384562085543
0,5,0.60,0.9488167891740912
0,5,0.65,0.7777321126809635
0,5,0.70,0.953129080397505
0,5,0.75,0.9799444831277881
0,5,0.80,0.9828970199347663
0,5,0.85,0.9532416217248891
0,5,0.90,0.9636209447169564
0,5,0.95,0.9708156483564189
0,6,0.05,-0.17251923393094248
0,6,0.10,0.2571176169155748
0,6,0.15,-0.062039452353729097
0,6,0.20,0.8319119293232676
0,6,0.25,0.6744224527555948
0,6,0.30,0.9272044557022822
0,6,0.35,0.9503855698437432
0,6,0.40,0.8416793550442045
0,6,0.45,0.9457598150644627
0,6,0.50,0.5744650159440412
0,6,0.55,0.9735569811345783
0,6,0.60,0.9702688753936661
0,6,0.65,0.9661506973489681
0,6,0.70,0.9602281954351308
0,6,0.75,0.8180485651461012
0,6,0.80,0.9763198885761616
0,6,0.85,0.9827934974049102
0,6,0.90,0.9741991116930183
0,6,0.95,0.9703367829781443
0,7,0.05,0.6368892147241554
0,7,0.10,0.3532270500014023
0,7,0.15,0.46632465822829017
0,7,0.20,0.8527379056337643
0,7,0.25,0.0650376742794182
0,7,0.30,0.9006821405406631
0,7,0.35,0.9771722679082535
0,7,0.40,0.9529251910167078
0,7,0.45,0.9284485253972417
0,7,0.50,0.9832786336908133
0,7,0.55,0.9707794149328862
0,7,0.60,0.9604633094198209
0,7,0.65,0.9803808585165535
0,7,0.70,0.9754732736567306
0,7,0.75,0.835437004501967
0,7,0.80,0.986739351421432
0,7,0.85,0.9857137989923611
0,7,0.90,0.8476719371265845
0,7,0.95,0.9790103318186473
0,8,0.05,-2.622885824303761
0,8,0.10,0.23259761839057835
0,8,0.15,0.5761035767026412
0,8,0.20,0.3980990834008242
0,8,0.25,0.3609213027325825
0,8,0.30,0.8841774053350877
0,8,0.35,0.9690343385978588
0,8,0.40,0.6790115320910294
0,8,0.45,0.9794147574560405
0,8,0.50,0.7264576478042792
0,8,0.55,0.8926676205989811
0,8,0.60,0.8097788856368243
0,8,0.65,0.8123904595562366
0,8,0.70,0.9831070647227641
0,8,0.75,0.9582891112080051
0,8,0.80,0.9850494272965374
0,8,0.85,0.9373046610879887
0,8,0.90,0.986705909921381
0,8,0.95,0.9551006547644377
0,9,0.05,0.4606502246693629
0,9,0.10,0.9070693677167248
0,9,0.15,0.9121298130685864
0,9,0.20,0.6104967550966196
0,9,0.25,-1.7523341322329031
0,9,0.30,0.8501208029213951
0,9,0.35,0.9460931204353126
0,9,0.40,0.9075668625476224
0,9,0.45,0.5932856406218616
0,9,0.50,0.7799599584689639
0,9,0.55,0.9631922141206258
0,9,0.60,0.9630770442832556
0,9,0.65,0.9758225938353506
0,9,0.70,0.983437114053406
0,9,0.75,0.982223928694738
0,9,0.80,0.9800880495414835
0,9,0.85,0.6700841685222191
0,9,0.90,0.9502520961726673
0,9,0.95,0.9824980452055245
1,0,0.05,0.8423116622724011
1,0,0.10,0.6524917244948012
1,0,0.15,0.6463763156618869
1,0,0.20,0.5950564869935916
1,0,0.25,0.46988098766072295
1,0,0.30,0.9536682023384812
1,0,0.35,0.929683602442231
1,0,0.40,0.9274711354628209
1,0,0.45,0.8187449358243435
1,0,0.50,0.9833985057751271
1,0,0.55,0.9320630198704631
1,0,0.60,0.9759961476943992
1,0,0.65,0.9599152736876659
1,0,0.70,0.8830251974327336
1,0,0.75,0.9639477236625564
1,0,0.80,0.9717636630105723
1,0,0.85,0.9659992256308575
1,0,0.90,0.9877886917893399
1,0,0.95,0.9789228249055653
1,1,0.05,0.6204875494114245
1,1,0.10,0.7497353961774327
1,1,0.15,0.0211764618783733
1,1,0.20,0.8942072068108654
1,1,0.25,0.6691059652358631
1,1,0.30,0.7066473340182726
1,1,0.35,0.8786030745048006
1,1,0.40,0.9151867596297525
1,1,0.45,0.9152125017417674
1,1,0.50,0.9784189424251599
1,1,0.55,0.9719024833035654
1,1,0.60,0.9551356813954301
1,1,0.65,0.8895793522310912
1,1,0.70,0.9639475405609396
1,1,0.75,0.9603238645881357
1,1,0.80,0.9602788637709873
1,1,0.85,0.9560255064071947
1,1,0.90,0.9794367245616338
1,1,0.95,0.970750794734782
1,2,0.05,0.20356273685924897
1,2,0.10,-0.280166935053338
1,2,0.15,0.84158909559834
1,2,0.20,0.8241330364977063
1,2,0.25,0.33280408708574627
1,2,0.30,0.5066929253903469
1,2,0.35,0.8158634495894783
1,2,0.40,0.9356374334474176
1,2,0.45,0.9806301030110276
1,2,0.50,0.9544116039611875
1,2,0.55,0.9526525581538987
1,2,0.60,0.9642129399149679
1,2,0.65,0.931305723711765
1,2,0.70,0.9665420538474953
1,2,0.75,0.97970916588538
1,2,0.80,0.9685480896728088
1,2,0.85,0.9741763279566812
1,2,0.90,0.9297870071494464
1,2,0.95,0.9678833787231699
1,3,0.05,-1.494752611661378
1,3,0.10,0.43035196604499526
1,3,0.15,0.4518099629307476
1,3,0.20,0.8192862806133066
1,3,0.25,0.8394782679958042
1,3,0.30,0.8004198476375078
1,3,0.35,0.9562603895734568
1,3,0.40,0.7413815229393699
1,3,0.45,0.9678452722642682
1,3,0.50,0.8605119310709355
1,3,0.55,0.9565554114199082
1,3,0.60,0.9071805246044482
1,3,0.65,0.9686958351860285
1,3,0.70,0.9530183347570382
1,3,0.75,0.9635137054385501
1,3,0.80,0.9737377525942525
1,3,0.85,0.9706956012940553
1,3,0.90,0.9537284906061305
1,3,0.95,0.9068155262629406
1,4,0.05,-1.2315875672042926
1,4,0.10,0.4249307281688671
1,4,0.15,0.7745985021392535
1,4,0.20,0.6862442460425029
1,4,0.25,0.9233558445429049
1,4,0.30,0.937424067273562
1,4,0.35,0.871073864585055
1,4,0.40,0.8700717653305612
1,4,0.45,0.9584995879737813
1,4,0.50,0.9722005920612287
1,4,0.55,0.7542117145009724
1,4,0.60,0.9791510476459051
1,4,0.65,0.8688105655183259
1,4,0.70,0.9594612469298763
1,4,0.75,0.9712095924438657
1,4,0.80,0.7752750934983004
1,4,0.85,0.976183477749142
1,4,0.90,0.9766381839700534
1,4,0.95,0.9889271846638065
1,5,0.05,0.7407608571773632
1,5,0.10,-0.469509026842178
1,5,0.15,0.8466067684236718
1,5,0.20,-0.26498623852774994
1,5,0.25,0.8279741824115593
1,5,0.30,0.757312457369255
1,5,0.35,0.942650772548681
1,5,0.40,0.9651232699172819
1,5,0.45,0.9811613935146676
1,5,0.50,0.9751866159215615
1,5,0.55,0.9619820932752824
1,5,0.60,0.9679970419693852
1,5,0.65,0.950284361403565
1,5,0.70,0.9628402192718675
1,5,0.75,0.9726064648935919
1,5,0.80,0.9582922333163763
1,5,0.85,0.7359027853815285
1,5,0.90,0.9248962985695237
1,5,0.95,0.9792605039699727
1,6,0.05,0.7549483215278382
1,6,0.10,0.7470633224434244
1,6,0.15,0.8565996062439618
1,6,0.20,0.8012568083035262
1,6,0.25,0.19915739890544637
1,6,0.30,0.7459433290737765
1,6,0.35,0.9465351021480894
1,6,0.40,0.7819108866308799
1,6,0.45,0.9359348680109392
1,6,0.50,0.9601786691808991
1,6,0.55,0.9628984986812305
1,6,0.60,0.9347864653676429
1,6,0.65,0.9744582521502093
1,6,0.70,0.9658487646183026
1,6,0.75,0.9591115946931582
1,6,0.80,0.9853631759217828
1,6,0.85,0.8738463396014586
1,6,0.90,0.95923348812019
1,6,0.95,0.8839441417813839
1,7,0.05,0.6190247193102781
1,7,0.10,-23.223516621751042
1,7,0.15,0.49931328988380685
1,7,0.20,0.6476334538580578
1,7,0.25,0.7433805274141987
1,7,0.30,0.887105254797088
1,7,0.35,0.9475466936800011
1,7,0.40,0.7432544539468713
1,7,0.45,0.88254934557971
1,7,0.50,0.9056572264877727
1,7,0.55,0.9636387867132657
1,7,0.60,0.9513100770275492
1,7,0.65,0.9644604374045218
1,7,0.70,0.9808913329718661
1,7,0.75,0.9616731367499621
1,7,0.80,0.7939770844130201
1,7,0.85,0.8358055301718004
1,7,0.90,0.9783893553681066
1,7,0.95,0.9800211691307559
1,8,0.05,0.7828374953016806
1,8,0.10,-0.5470999890589876
1,8,0.15,0.5976110099012875
1,8,0.20,0.6126513881852815
1,8,0.25,0.9145323921790746
1,8,0.30,0.9297677532619981
1,8,0.35,0.9018525471737818
1,8,0.40,0.7523691651004222
1,8,0.45,0.9724982441298334
1,8,0.50,0.9527352834514979
1,8,0.55,0.6892499336763591
1,8,0.60,0.9696508275691318
1,8,0.65,0.951361185609506
1,8,0.70,0.9644322027403228
1,8,0.75,0.9802835947734302
1,8,0.80,0.9650884779714117
1,8,0.85,0.8404225977711048
1,8,0.90,0.9850289270429395
1,8,0.95,0.9659330341566295
1,9,0.05,-4.349029545428866
1,9,0.10,0.6828836415886784
1,9,0.15,0.8967514241999573
1,9,0.20,0.6423370321415465
1,9,0.25,0.523093150630439
1,9,0.30,0.9480054027009451
1,9,0.35,0.9259739870301673
1,9,0.40,0.8556973086688798
1,9,0.45,0.8066274200141484
1,9,0.50,0.9518109113920232
1,9,0.55,0.8331372425202949
1,9,0.60,0.9731639085576443
1,9,0.65,0.9697116482941033
1,9,0.70,0.9597668540327899
1,9,0.75,0.9664819240349943
1,9,0.80,0.9835754779709394
1,9,0.85,0.9846514283726238
1,9,0.90,0.9804363629109898
1,9,0.95,0.9809744024133483
2,0,0.05,-2.1280721248794556
2,0,0.10,0.9610806825077278
2,0,0.15,0.534156029261107
2,0,0.20,0.8551769160677646
