random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.5849876216779737
0,0,0.10,0.787804492522752
0,0,0.15,-0.09123034930896212
0,0,0.20,0.3019645569506113
0,0,0.25,-1.6616050070287427
0,0,0.30,0.9811750588918936
0,0,0.35,0.33913490662697887
0,0,0.40,0.8625566671458849
0,0,0.45,0.9534159974601853
0,0,0.50,0.74080078748329
0,0,0.55,0.9169291389083054
0,0,0.60,0.9604287387797789
0,0,0.65,0.9667200803099198
0,0,0.70,0.9435300348605175
0,0,0.75,0.9786399201415553
0,0,0.80,0.985321536406661
0,0,0.85,0.9837164907360699
0,0,0.90,0.9833954698879006
0,0,0.95,0.963496985289939
0,1,0.05,-0.5849876216779737
0,1,0.10,-1.5684681880773836
0,1,0.15,-0.3450658878290569
0,1,0.20,-0.9248421629958354
0,1,0.25,0.6679056525074907
0,1,0.30,0.9349253050073278
0,1,0.35,0.9288335574248184
0,1,0.40,0.9582210631987694
0,1,0.45,0.9381728117895397
0,1,0.50,0.979130823776835
0,1,0.55,0.9554193548547245
0,1,0.60,0.967919563445494
0,1,0.65,0.8603381144725417
0,1,0.70,0.9571478680036234
0,1,0.75,0.8876978636669909
0,1,0.80,0.9257984721489827
0,1,0.85,0.980663892734049
0,1,0.90,0.9586757053177655
0,1,0.95,0.9638485479415131
0,2,0.05,-1.6290014383723288
0,2,0.10,-1.5398866701063767
0,2,0.15,0.4461481203107972
0,2,0.20,0.6518846272238943
0,2,0.25,0.40518845429146977
0,2,0.30,0.6486078516836258
0,2,0.35,0.812307789994972
0,2,0.40,0.8168723272493327
0,2,0.45,0.8470662073951584
0,2,0.50,0.8264580312203181
0,2,0.55,0.9801025409019131
0,2,0.60,0.9379200939028567
0,2,0.65,0.9913006800715827
0,2,0.70,0.9665923128932633
0,2,0.75,0.9498422594085993
0,2,0.80,0.9753438752181682
0,2,0.85,0.9670592330402535
0,2,0.90,0.9682793475830649
0,2,0.95,0.9193185419184423
0,3,0.05,0.12599726018703794
0,3,0.10,0.875034198262759
0,3,0.15,0.7128723354573429
0,3,0.20,0.5280424018860634
0,3,0.25,0.44934480514206454
0,3,0.30,0.9700938522109815
0,3,0.35,0.9847808537965278
0,3,0.40,0.9758035679447291
0,3,0.45,0.9556534849618101
0,3,0.50,0.9658882059374843
0,3,0.55,-0.30804664998980114
0,3,0.60,0.895752652441514
0,3,0.65,0.8966519844298513
0,3,0.70,0.9782478106970972
0,3,0.75,0.7320415516872478
0,3,0.80,0.9504789398416271
0,3,0.85,0.9820860058609773
0,3,0.90,0.9790436310703323
0,3,0.95,0.9814758969414505
0,4,0.05,0.12599726018703583
0,4,0.10,-2.2932926724389153
0,4,0.15,0.9031582269460091
0,4,0.20,0.19797404050653755
0,4,0.25,0.8421379131955712
0,4,0.30,0.9689324125064593
0,4,0.35,0.7653987857202292
0,4,0.40,0.7853724389928034
0,4,0.45,0.881268299261467
0,4,0.50,0.7972646036372626
0,4,0.55,0.9634921382545631
0,4,0.60,0.9858912856300148
0,4,0.65,0.9788040789477636
0,4,0.70,0.9504215432160714
0,4,0.75,0.9392295979544388
0,4,0.80,0.9816545258184578
0,4,0.85,0.9372581087895316
0,4,0.90,0.9671776017976387
0,4,0.95,0.9767488691471697
0,5,0.05,-0.5849876216779726
0,5,0.10,0.8406683314615799
0,5,0.15,0.37703028862675847
0,5,0.20,0.8398324111244165
0,5,0.25,0.8080698931273161
0,5,0.30,0.9439447933107519
0,5,0.35,0.9824102743331413
0,5,0.40,0.9579940071326027
0,5,0.45,0.9515360875280532
0,5,0.50,0.9565629404749887
0,5,0.55,0.7608748275215794
0,5,0.60,0.9699423532543656
0,5,0.65,0.9223230236693384
0,5,0.70,0.9267303936010166
0,5,0.75,0.9456617721186192
0,5,0.80,0.9356902594998715
0,5,0.85,0.9773990673295604
0,5,0.90,0.9587908994872217
0,5,0.95,0.9416984280810975
0,6,0.05,-593.1322269884363
0,6,0.10,0.7536483593572949
0,6,0.15,-2.678985776327742
0,6,0.20,-1.3160831996332258
0,6,0.25,0.18827244008102018
0,6,0.30,0.992001475243105
0,6,0.35,0.44211177753415964
0,6,0.40,0.8936609582674346
0,6,0.45,0.863100179593904
0,6,0.50,0.9594869932563338
0,6,0.55,0.9772790779381246
0,6,0.60,0.8970526452303123
0,6,0.65,0.9462871280485329
0,6,0.70,0.9715153778400142
0,6,0.75,0.7800992074540858
0,6,0.80,0.9056401628825748
0,6,0.85,0.9845790990182353
0,6,0.90,0.968507864044675
0,6,0.95,0.9631274077811676
0,7,0.05,-0.11817853291358471
0,7,0.10,-10.389363184696798
0,7,0.15,-0.18831254895571492
0,7,0.20,0.5246104096252102
0,7,0.25,0.3719653741579203
0,7,0.30,0.05604471966777946
0,7,0.35,0.4584906793217465
0,7,0.40,0.9599371791898843
0,7,0.45,0.7165192219021437
0,7,0.50,0.9126697310341086
0,7,0.55,0.9406644173577966
0,7,0.60,0.9616194074351181
0,7,0.65,0.9492453872432778
0,7,0.70,0.8222111742772936
0,7,0.75,0.9677640485946195
0,7,0.80,0.9116784773282147
0,7,0.85,0.9817159929405652
0,7,0.90,0.9658287883896811
0,7,0.95,0.9816963945936724
0,8,0.05,-28.98611373238461
0,8,0.10,-0.32143783965426054
0,8,0.15,0.3853634166067653
0,8,0.20,0.6847735471244667
0,8,0.25,-1.9812680468881658
0,8,0.30,0.8423123094255154
0,8,0.35,0.917892763625259
0,8,0.40,0.6461543703037147
0,8,0.45,0.9845776270327702
0,8,0.50,0.8047803708677123
0,8,0.55,0.9149544387769983
0,8,0.60,0.915463546883482
0,8,0.65,0.9627126372658871
0,8,0.70,0.9376010906794295
0,8,0.75,0.9480424599443973
0,8,0.80,0.9465741171359555
0,8,0.85,0.9842408339012592
0,8,0.90,0.9830237542772238
0,8,0.95,0.9615475299939487
0,9,0.05,-1.779163040931763
0,9,0.10,0.9496324719915209
0,9,0.15,0.9357573549973339
0,9,0.20,0.6714656131887728
0,9,0.25,0.6832691405744656
0,9,0.30,0.8079689397068262
0,9,0.35,0.85250334706975
0,9,0.40,0.9347593999549567
0,9,0.45,0.8851665542322464
0,9,0.50,0.9249233995957007
0,9,0.55,0.8039204693368756
0,9,0.60,0.9502159600353691
0,9,0.65,0.9723211991887092
0,9,0.70,0.9074845104307149
0,9,0.75,0.934795928918205
0,9,0.80,0.9661013233260843
0,9,0.85,0.9748316516209284
0,9,0.90,0.9558525389699377
0,9,0.95,0.9771267299473313
1,0,0.05,-5.707031995561214
1,0,0.10,-3.7358180712086835
1,0,0.15,0.07810281547803655
1,0,0.20,0.2797163368606227
1,0,0.25,0.6266347488865222
1,0,0.30,-2.4767525769142664
1,0,0.35,0.8954655883330633
1,0,0.40,0.7640830304556757
1,0,0.45,0.8897611044858367
1,0,0.50,0.9281754499787355
1,0,0.55,0.8986744376992228
1,0,0.60,0.7765494694094406
1,0,0.65,0.9392475370167045
1,0,0.70,0.9495109459405031
1,0,0.75,0.9684051774253875
1,0,0.80,0.9721246644775882
1,0,0.85,0.9214594145001895
1,0,0.90,0.9505140000669385
1,0,0.95,0.9535511589658385
1,1,0.05,-5.707031995561255
1,1,0.10,0.8505566297747225
1,1,0.15,0.4926480693208728
1,1,0.20,-0.35582654878612474
1,1,0.25,0.5132232022778025
1,1,0.30,-0.08272985698815893
1,1,0.35,0.7820635125652509
1,1,0.40,0.8486865168461151
1,1,0.45,0.8717537543940878
1,1,0.50,0.9084606893439713
1,1,0.55,0.7825639763556377
1,1,0.60,0.9177314600530475
1,1,0.65,0.967050399954457
1,1,0.70,0.9786387365032932
1,1,0.75,0.9598003672621542
1,1,0.80,0.7544424048251273
1,1,0.85,0.9528215173796922
1,1,0.90,0.9654278212952463
1,1,0.95,0.9439242523634529
1,2,0.05,-2.7218994176247904
1,2,0.10,-0.9215534523975668
1,2,0.15,0.5327659974029251
1,2,0.20,-19.246316037352877
1,2,0.25,0.5963608356430641
1,2,0.30,0.0018099116479193267
1,2,0.35,0.8866496821378361
1,2,0.40,0.6808255534505949
1,2,0.45,0.9073066546196585
1,2,0.50,0.9702275487717491
1,2,0.55,0.9223119025910719
1,2,0.60,0.92589126065615
1,2,0.65,0.9350994471286367
1,2,0.70,0.9726369845859355
1,2,0.75,0.9015575517927702
1,2,0.80,0.9886825159871122
1,2,0.85,0.9727611349940264
1,2,0.90,0.9804199327240433
1,2,0.95,0.9673361399531542
1,3,0.05,0.4258289705073721
1,3,0.10,-9.689172425794284
1,3,0.15,-112.53408330039261
1,3,0.20,-0.2805301114004002
1,3,0.25,0.33869254686268213
1,3,0.30,0.6514883308939359
1,3,0.35,0.7643700801512338
1,3,0.40,0.6059366546196081
1,3,0.45,0.7626203108925051
1,3,0.50,0.973769766570165
1,3,0.55,0.9105098956926211
1,3,0.60,0.9615235493897786
1,3,0.65,0.9365979022010725
1,3,0.70,0.93531683652402
1,3,0.75,0.948960954272244
1,3,0.80,0.9358159520301631
1,3,0.85,0.967745015781589
1,3,0.90,0.9544400426313583
1,3,0.95,0.9317194069967284
1,4,0.05,0.4258289705073671
1,4,0.10,0.608236892595362
1,4,0.15,-10.314776382137559
1,4,0.20,0.9287031140618873
1,4,0.25,-0.1711486937935709
1,4,0.30,0.9151968243376196
1,4,0.35,0.9056271525676861
1,4,0.40,0.50387223257251
1,4,0.45,0.9346602587073969
1,4,0.50,0.8957132873762039
1,4,0.55,0.9440260855630581
1,4,0.60,0.9707058406434363
1,4,0.65,0.9387862883235434
1,4,0.70,0.9243006271282629
1,4,0.75,0.9648462038181519
1,4,0.80,0.964200874620203
