random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.08568547184766218
0,0,0.10,0.2105276659877473
0,0,0.15,0.9673833722015301
0,0,0.20,0.9619325031142324
0,0,0.25,0.912338752594283
0,0,0.30,0.9677118844148008
0,0,0.35,0.9908801284656279
0,0,0.40,0.981647193386094
0,0,0.45,0.9909709516566352
0,0,0.50,0.980218841442676
0,0,0.55,0.9876076898019889
0,0,0.60,0.9946412577723623
0,0,0.65,0.98931729570988
0,0,0.70,0.9940193675021313
0,0,0.75,0.9924489435065
0,0,0.80,0.9943314612107795
0,0,0.85,0.9934002726318147
0,0,0.90,0.9941371765608005
0,0,0.95,0.9950600080037786
0,1,0.05,0.7246289759359241
0,1,0.10,0.6690655613521594
0,1,0.15,0.9099074602076271
0,1,0.20,0.9272955415532615
0,1,0.25,0.9155214166669936
0,1,0.30,0.9790542587066382
0,1,0.35,0.9900010754913556
0,1,0.40,0.9911048887796985
0,1,0.45,0.9792097535608778
0,1,0.50,0.9943922243135409
0,1,0.55,0.9785891997034816
0,1,0.60,0.9851712856286323
0,1,0.65,0.9949005970590009
0,1,0.70,0.9945358656170574
0,1,0.75,0.9837239336319146
0,1,0.80,0.9911593317450438
0,1,0.85,0.9946349329744756
0,1,0.90,0.9963459752240758
0,1,0.95,0.9880575241750885
0,2,0.05,-0.3154391075301639
0,2,0.10,0.6398218769407431
0,2,0.15,0.8981907899086179
0,2,0.20,0.9591212685774368
0,2,0.25,0.957513173123503
0,2,0.30,0.9820649262918856
0,2,0.35,0.9731112424256325
0,2,0.40,0.9857711678424572
0,2,0.45,0.9889246650954817
0,2,0.50,0.9817886609407173
0,2,0.55,0.9944629965024723
0,2,0.60,0.9930711334455582
0,2,0.65,0.9945798883826557
0,2,0.70,0.9863073044704216
0,2,0.75,0.9945168990480793
0,2,0.80,0.9895529728971569
0,2,0.85,0.996543343702048
0,2,0.90,0.9949005580807929
0,2,0.95,0.9944668855777202
0,3,0.05,0.24271767754920237
0,3,0.10,0.4805379968005622
0,3,0.15,0.8599450470106877
0,3,0.20,0.9037606299566371
0,3,0.25,0.97855484710708
0,3,0.30,0.9822887366075576
0,3,0.35,0.9916134539310004
0,3,0.40,0.985022480044771
0,3,0.45,0.9925586767743408
0,3,0.50,0.9915263118069743
0,3,0.55,0.9928655483356632
0,3,0.60,0.9920209870584515
0,3,0.65,0.9963007828537583
0,3,0.70,0.9953918846704273
0,3,0.75,0.9900633379036434
0,3,0.80,0.99350497882681
0,3,0.85,0.9925103905837226
0,3,0.90,0.9933103372476879
0,3,0.95,0.9880300182949877
0,4,0.05,0.19729517192859236
0,4,0.10,0.5644810728908882
0,4,0.15,0.8973760252251645
0,4,0.20,0.9833642781001439
0,4,0.25,0.9433166671097452
0,4,0.30,0.977127033561535
0,4,0.35,0.9767359058339105
0,4,0.40,0.9717369116115508
0,4,0.45,0.9834795894913254
0,4,0.50,0.9937688291496461
0,4,0.55,0.9926725133098073
0,4,0.60,0.9892348039242775
0,4,0.65,0.9956038720894428
0,4,0.70,0.9957855563198729
0,4,0.75,0.9928181752744094
0,4,0.80,0.992089354313245
0,4,0.85,0.9947100431400013
0,4,0.90,0.9907122543893269
0,4,0.95,0.9858157852108073
0,5,0.05,-1.2185328697671411
0,5,0.10,0.9084705886060983
0,5,0.15,0.9191264490851182
0,5,0.20,0.9611217732144726
0,5,0.25,0.9870894912402255
0,5,0.30,0.9169039421786185
0,5,0.35,0.9928542880776767
0,5,0.40,0.9908500554150288
0,5,0.45,0.9770473501238527
0,5,0.50,0.9910665223906648
0,5,0.55,0.9940757755064681
0,5,0.60,0.9908584963960185
0,5,0.65,0.9865592844298047
0,5,0.70,0.9922022306162475
0,5,0.75,0.9946840787855367
0,5,0.80,0.9954117887446859
0,5,0.85,0.9956584133167692
0,5,0.90,0.9956652087068981
0,5,0.95,0.9899544854266364
0,6,0.05,0.6071831242801757
0,6,0.10,0.9362116670049085
0,6,0.15,0.9321812988710825
0,6,0.20,0.9475740137865031
0,6,0.25,0.9739357044240483
0,6,0.30,0.9542090013040185
0,6,0.35,0.9948968178299947
0,6,0.40,0.9860731784636975
0,6,0.45,0.9826110885327631
0,6,0.50,0.9912047959385127
0,6,0.55,0.9962694454813615
0,6,0.60,0.9936448265954045
0,6,0.65,0.996408611467597
0,6,0.70,0.9930597070930006
0,6,0.75,0.9870191480956514
0,6,0.80,0.9958273477141625
0,6,0.85,0.9943809396390215
0,6,0.90,0.9943607075647188
0,6,0.95,0.9909302568023846
0,7,0.05,0.8234202252719341
0,7,0.10,0.6519768126820533
0,7,0.15,0.9333158931312352
0,7,0.20,0.939339680343228
0,7,0.25,0.9657783919938386
0,7,0.30,0.9668880392349697
0,7,0.35,0.9844399623807655
0,7,0.40,0.9796820490156175
