random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.575982133803097
0,0,0.10,0.8899276619544737
0,0,0.15,0.9141285514236174
0,0,0.20,0.9303096706397461
0,0,0.25,0.9718317428797528
0,0,0.30,0.9950213479984197
0,0,0.35,0.9760010534643685
0,0,0.40,0.9947870354876047
0,0,0.45,0.9782917486153827
0,0,0.50,0.9952550780228058
0,0,0.55,0.9946568604347004
0,0,0.60,0.9921947599915101
0,0,0.65,0.9897222183794445
0,0,0.70,0.9940028831897222
0,0,0.75,0.9929228761298732
0,0,0.80,0.9826415446099142
0,0,0.85,0.995987628591369
0,0,0.90,0.994190833267323
0,0,0.95,0.9945198038473483
0,1,0.05,0.6343876230405932
0,1,0.10,0.945384261037465
0,1,0.15,0.9530604597419228
0,1,0.20,0.946213168002322
0,1,0.25,0.9879107903786482
0,1,0.30,0.9260402125794958
0,1,0.35,0.9945505993779296
0,1,0.40,0.9929410601500659
0,1,0.45,0.9944613410815146
0,1,0.50,0.9787780451528605
0,1,0.55,0.9940539197041436
0,1,0.60,0.9898684754730249
0,1,0.65,0.9835024162907137
0,1,0.70,0.9809152495738083
0,1,0.75,0.9947583197362131
0,1,0.80,0.991352894893476
0,1,0.85,0.9845107682865379
0,1,0.90,0.996241045062364
0,1,0.95,0.9949671898163758
0,2,0.05,0.34132073720772993
0,2,0.10,0.7448873623800564
0,2,0.15,0.69206686968196
0,2,0.20,0.9729937266840688
0,2,0.25,0.9477826192493419
0,2,0.30,0.9898419758797667
0,2,0.35,0.980762117160049
0,2,0.40,0.9808029133278386
0,2,0.45,0.9907493756066312
0,2,0.50,0.9957828384630749
0,2,0.55,0.9957922979831744
0,2,0.60,0.9805730082349856
0,2,0.65,0.9914869801728813
0,2,0.70,0.994024553550047
0,2,0.75,0.9877880653051574
0,2,0.80,0.9953306028184224
0,2,0.85,0.9957614441088766
0,2,0.90,0.9970837601882923
0,2,0.95,0.9947106570053603
0,3,0.05,-0.3561791110664658
0,3,0.10,-1.6008037966798687
0,3,0.15,0.9219166209897248
0,3,0.20,0.9119077771288916
0,3,0.25,0.9112142110858382
0,3,0.30,0.9934775513067665
0,3,0.35,0.988020720573191
0,3,0.40,0.9831134461186949
0,3,0.45,0.9952766305224422
0,3,0.50,0.9661125928202692
0,3,0.55,0.9818131407550017
0,3,0.60,0.9880267168632028
0,3,0.65,0.9938915855529051
0,3,0.70,0.9951642655869368
0,3,0.75,0.9951000097025633
0,3,0.80,0.9965660670456375
0,3,0.85,0.9929111961575526
0,3,0.90,0.9923587833177551
0,3,0.95,0.9931800205923844
0,4,0.05,-1.115010424025487
0,4,0.10,0.7146057461909392
0,4,0.15,0.9819132421689651
0,4,0.20,0.928177887070051
0,4,0.25,0.982766317825338
0,4,0.30,0.9797174499315907
0,4,0.35,0.9929346102192
0,4,0.40,0.9632670922552228
0,4,0.45,0.9838143875492057
0,4,0.50,0.9939987924037669
0,4,0.55,0.980623503719121
0,4,0.60,0.9956806388506999
0,4,0.65,0.9895249268742649
0,4,0.70,0.9822758048518923
0,4,0.75,0.989670511308077
0,4,0.80,0.9912390954831045
0,4,0.85,0.9906398557385858
0,4,0.90,0.9888176668789909
0,4,0.95,0.9955750846721568
0,5,0.05,0.266408267072323
0,5,0.10,0.9577742289635575
0,5,0.15,0.9726929550215326
0,5,0.20,0.6612852037944117
0,5,0.25,0.9390512469706366
0,5,0.30,0.9719658309381946
0,5,0.35,0.9685389318959908
0,5,0.40,0.9885213490709542
0,5,0.45,0.9941446203431757
0,5,0.50,0.9952016806714022
0,5,0.55,0.9926182794938526
0,5,0.60,0.9919493406095606
0,5,0.65,0.9908438336734282
0,5,0.70,0.9877402746753356
0,5,0.75,0.9957180078165642
0,5,0.80,0.996104010897218
0,5,0.85,0.995568120993726
0,5,0.90,0.9964038864267357
0,5,0.95,0.9961834126850733
0,6,0.05,-1.9551184100416643
0,6,0.10,0.8035914011550045
0,6,0.15,-1.1651948820992692
0,6,0.20,0.9118004093948969
0,6,0.25,0.9869967404712778
0,6,0.30,0.9876326541066476
0,6,0.35,0.9918294681267505
0,6,0.40,0.976763278805748
0,6,0.45,0.9806952530314372
0,6,0.50,0.9960190347275234
0,6,0.55,0.9774471612766226
0,6,0.60,0.9947398545825105
0,6,0.65,0.9938403279381984
0,6,0.70,0.9960508417367706
0,6,0.75,0.9967387249710422
0,6,0.80,0.9948651913943668
0,6,0.85,0.9903794687026669
0,6,0.90,0.9886926657149776
0,6,0.95,0.993473009734044
0,7,0.05,0.2677857882201852
0,7,0.10,0.9332476163503057
0,7,0.15,0.938258308828277
0,7,0.20,0.9451476715568381
0,7,0.25,0.9653969515828728
0,7,0.30,0.9848383105627443
0,7,0.35,0.9711997347839613
0,7,0.40,0.9802218813472019
0,7,0.45,0.9771653312551645
0,7,0.50,0.9920687486590287
0,7,0.55,0.9918744916190496
0,7,0.60,0.9947777976620653
0,7,0.65,0.995027907387233
0,7,0.70,0.9954216087634767
0,7,0.75,0.9955340935197489
0,7,0.80,0.996199969047361
0,7,0.85,0.9960512535379165
0,7,0.90,0.9952629105954712
0,7,0.95,0.9953156039402108
0,8,0.05,0.48425493969563327
0,8,0.10,0.8313913056890843
0,8,0.15,0.9621984015637779
0,8,0.20,0.9257667821768447
0,8,0.25,0.9784444379511219
0,8,0.30,0.9923874996551939
0,8,0.35,0.9883432186939578
0,8,0.40,0.986481854371881
0,8,0.45,0.9902307839808151
0,8,0.50,0.9955064250876942
0,8,0.55,0.9958065845957221
0,8,0.60,0.9960288393956634
0,8,0.65,0.9928290976439134
0,8,0.70,0.9957407889024562
0,8,0.75,0.9821125313469169
0,8,0.80,0.9852559210033051
0,8,0.85,0.989771901696674
0,8,0.90,0.9883231829382423
0,8,0.95,0.9964700828811152
0,9,0.05,-0.8875469888691183
0,9,0.10,0.30800989685351166
0,9,0.15,0.9383338536951707
0,9,0.20,0.9725385280702131
0,9,0.25,0.9422736981168119
0,9,0.30,0.968865833396976
0,9,0.35,0.9922264012858801
0,9,0.40,0.9942056226683404
0,9,0.45,0.9819481596683084
0,9,0.50,0.9949027836363131
0,9,0.55,0.9947478586156054
0,9,0.60,0.9936060895665069
0,9,0.65,0.9882048186665615
0,9,0.70,0.994947900103424
0,9,0.75,0.975905660635853
0,9,0.80,0.989190991086984
0,9,0.85,0.994338894610123
0,9,0.90,0.9945507917019982
0,9,0.95,0.9658124479561667
1,0,0.05,0.7240498436589335
1,0,0.10,0.6704651289810752
1,0,0.15,0.8570188561526014
1,0,0.20,0.9720028674361652
1,0,0.25,0.9871457583762129
1,0,0.30,0.9804179404661614
1,0,0.35,0.9941816360518516
1,0,0.40,0.991555053625537
1,0,0.45,0.9914908879127523
1,0,0.50,0.9932282358267986
1,0,0.55,0.9866114670775314
1,0,0.60,0.9951539259004664
1,0,0.65,0.9779504155768318
1,0,0.70,0.9944329612651639
1,0,0.75,0.9791967475074277
1,0,0.80,0.9952926992507742
1,0,0.85,0.9942892549226516
1,0,0.90,0.9776589224309217
1,0,0.95,0.995037552223865
1,1,0.05,-1.4600748611325312
