random_seed,split_seed,sample_ratio,r2
0,0,0.05,-10.37688434543666
0,0,0.10,-3.2308007134958308
0,0,0.15,0.7694544992196509
0,0,0.20,0.6096764076260655
0,0,0.25,0.831000433570565
0,0,0.30,0.8909649673639275
0,0,0.35,0.4663956764709236
0,0,0.40,0.8173655941144524
0,0,0.45,0.9017447931301257
0,0,0.50,0.7841902942887875
0,0,0.55,0.9595834324446418
0,0,0.60,0.8907678760820081
0,0,0.65,0.925840916080704
0,0,0.70,0.9513875957952553
0,0,0.75,0.9548545787481793
0,0,0.80,0.8920658406770331
0,0,0.85,0.9232684685810044
0,0,0.90,0.9147288653841927
0,0,0.95,0.9226860927452887
0,1,0.05,-10.376884345436663
0,1,0.10,-1.5441988624816068
0,1,0.15,0.6335540194036705
0,1,0.20,0.5520689033216353
0,1,0.25,-0.15945519505007621
0,1,0.30,0.8998651775753443
0,1,0.35,0.8071566276201085
0,1,0.40,0.5386577840763236
0,1,0.45,0.9722166245064231
0,1,0.50,0.9809415606248177
0,1,0.55,0.9801117996110537
0,1,0.60,0.9029124180633915
0,1,0.65,0.9542362470941743
0,1,0.70,0.9388228731049127
0,1,0.75,0.9739153586650242
0,1,0.80,0.9851126169315472
0,1,0.85,0.9454836057407957
0,1,0.90,0.9805944988253165
0,1,0.95,0.9841851887809933
0,2,0.05,-6.603055451200256
0,2,0.10,-1.9400009134009362
0,2,0.15,-1.3683473960150878
0,2,0.20,0.5408196539322876
0,2,0.25,0.8988279606917696
0,2,0.30,0.8906866536583045
0,2,0.35,0.9268373391479132
0,2,0.40,0.9294265097310257
0,2,0.45,0.9061681908108492
0,2,0.50,0.9449177750934985
0,2,0.55,0.9253676980750012
0,2,0.60,0.9784891300516768
0,2,0.65,0.7655338376933435
0,2,0.70,0.9176878301762048
0,2,0.75,0.8699921288479409
0,2,0.80,0.9396762215597865
0,2,0.85,0.8383707798705237
0,2,0.90,0.8486251123009831
0,2,0.95,0.9741828089669342
0,3,0.05,-85.79275518711125
0,3,0.10,-13.224597854804562
0,3,0.15,0.549334364436046
0,3,0.20,-1.9664163521984128
0,3,0.25,0.06885937372966555
0,3,0.30,0.9252313013848348
0,3,0.35,0.8238333259404702
0,3,0.40,0.9258925056611416
0,3,0.45,0.8771335530657216
0,3,0.50,0.8525400416690528
0,3,0.55,0.833504556104713
0,3,0.60,0.450807368171955
0,3,0.65,0.921053819472885
0,3,0.70,0.9202777197626277
0,3,0.75,0.9481078313347052
0,3,0.80,0.9358511484409485
0,3,0.85,0.9914737634515448
0,3,0.90,0.9736144757002143
0,3,0.95,0.8407942778596071
0,4,0.05,-85.79275518711148
0,4,0.10,-67.94808105255035
0,4,0.15,-0.797556160564143
0,4,0.20,0.42305530999072394
0,4,0.25,0.8371394168970885
0,4,0.30,0.8772287316644325
0,4,0.35,0.25388856162991924
0,4,0.40,0.8242398227675871
0,4,0.45,0.9372432221738987
0,4,0.50,0.8919314634047516
0,4,0.55,0.964803719366397
0,4,0.60,0.9144595696867607
0,4,0.65,0.977895727978528
0,4,0.70,0.9823822593236152
0,4,0.75,0.9778114035803178
0,4,0.80,0.9541250655773243
0,4,0.85,0.935079349839037
0,4,0.90,0.9423666916860673
0,4,0.95,0.9325700565220149
0,5,0.05,-10.37688434543666
0,5,0.10,0.7532398889699526
0,5,0.15,0.6013603784328535
0,5,0.20,0.9248435580247554
0,5,0.25,0.7507814800232242
0,5,0.30,0.8047650865432833
0,5,0.35,0.8412190044547275
0,5,0.40,0.740827430823312
0,5,0.45,0.8788327823203669
0,5,0.50,0.8979017152007102
0,5,0.55,0.8624391132895637
0,5,0.60,0.951432361115437
0,5,0.65,0.9317156953905326
0,5,0.70,0.9606795589847296
0,5,0.75,0.7746178565883128
0,5,0.80,0.9232330766539243
0,5,0.85,0.9722640497375585
0,5,0.90,0.960180003372386
0,5,0.95,0.9793277759104104
0,6,0.05,-1.531092661964509
0,6,0.10,-0.7390699272756427
0,6,0.15,0.6605357289840401
0,6,0.20,0.4742287709489995
0,6,0.25,0.35799093902812207
0,6,0.30,0.9235447366536453
0,6,0.35,0.5908080155861153
0,6,0.40,0.5825247347601221
0,6,0.45,0.849832272052381
0,6,0.50,0.8806326528995072
0,6,0.55,0.8786993490404229
0,6,0.60,0.7422097901470224
0,6,0.65,0.7432654456617812
0,6,0.70,0.9185081122925804
0,6,0.75,0.9766048627566836
0,6,0.80,0.9283144220076472
0,6,0.85,0.8287892982490344
0,6,0.90,0.940676549470129
0,6,0.95,0.9573195811919748
0,7,0.05,-0.3657350912446684
0,7,0.10,0.08872673383655005
0,7,0.15,0.04641289926854353
0,7,0.20,0.7083816698638814
0,7,0.25,0.6617213303983556
0,7,0.30,0.8304599578058933
0,7,0.35,0.46968250239940346
0,7,0.40,0.8411162983965397
0,7,0.45,0.8234242895736001
0,7,0.50,0.888106511600639
0,7,0.55,0.900361504461675
0,7,0.60,0.9620052689493039
0,7,0.65,0.897035019247032
0,7,0.70,0.9579701073470538
0,7,0.75,0.9755878502562919
0,7,0.80,0.9842078930415177
0,7,0.85,0.983497457633334
0,7,0.90,0.9593126736449347
0,7,0.95,0.9469949982385645
0,8,0.05,-16.983646698259136
0,8,0.10,-35.949701989841266
0,8,0.15,0.00991773351822589
0,8,0.20,0.6378085716254767
0,8,0.25,0.6032025229696895
0,8,0.30,0.29905778710385
0,8,0.35,0.8068702749588914
0,8,0.40,0.8640657675220905
0,8,0.45,0.638048551481766
0,8,0.50,0.6032124388065249
0,8,0.55,0.9014930708117753
0,8,0.60,0.8941529483755571
0,8,0.65,0.9264826705080358
0,8,0.70,0.7511353115690782
0,8,0.75,0.9813571209733566
0,8,0.80,0.9482743640232429
0,8,0.85,0.9677612869880958
0,8,0.90,0.8730838424018229
0,8,0.95,0.904274960529102
0,9,0.05,0.5269260826129202
0,9,0.10,-1.2988297250808745
0,9,0.15,-0.3889932514941652
0,9,0.20,0.5702329687989568
0,9,0.25,0.815775435547453
0,9,0.30,0.822138248649311
0,9,0.35,0.8630535187945141
0,9,0.40,0.8177015480334314
0,9,0.45,0.9303147836004073
0,9,0.50,0.8657013103785318
0,9,0.55,0.8845098405407199
0,9,0.60,0.9571930740637495
0,9,0.65,0.8259360183564641
0,9,0.70,0.9089573145277208
0,9,0.75,0.9698091433491627
0,9,0.80,0.9530423415568764
0,9,0.85,0.9774681020540955
0,9,0.90,0.921098896965132
0,9,0.95,0.974514476430548
1,0,0.05,-228.84039394070473
1,0,0.10,-90.90179948270273
1,0,0.15,-0.08811102845301577
1,0,0.20,0.6215213757678468
1,0,0.25,0.3442451546947465
1,0,0.30,0.3700929208828162
1,0,0.35,0.5331051939147442
1,0,0.40,0.7223732977952768
1,0,0.45,0.9492092487505915
1,0,0.50,0.8802511315098293
1,0,0.55,0.9368902936557459
1,0,0.60,0.4282765418189971
1,0,0.65,0.8121860023499317
1,0,0.70,0.9040412692461322
1,0,0.75,0.9301989819668213
1,0,0.80,0.9740756755596668
1,0,0.85,0.9380105708425827
1,0,0.90,0.9701562063274061
1,0,0.95,0.9913940344286237
1,1,0.05,-228.8403939407043
1,1,0.10,-6.27927856876581
1,1,0.15,0.7599444601523266
1,1,0.20,0.25241580915439976
1,1,0.25,0.3341461272765295
1,1,0.30,0.5539879270181219
1,1,0.35,0.8825713300202453
1,1,0.40,0.884973023087767
1,1,0.45,0.8421253748704242
1,1,0.50,0.6419855454878236
1,1,0.55,0.9227196206423276
1,1,0.60,0.9603039721436818
1,1,0.65,0.9245184172661257
1,1,0.70,0.9342876800991998
1,1,0.75,0.9718262993354373
1,1,0.80,0.904663359779834
1,1,0.85,0.9080467416615221
1,1,0.90,0.924796660840636
1,1,0.95,0.9633868190010428
1,2,0.05,-20.914138459141398
1,2,0.10,-17.575437122119855
1,2,0.15,0.625146971083129
1,2,0.20,0.7307607341321629
1,2,0.25,0.7094918991431323
1,2,0.30,0.9440479719111964
1,2,0.35,0.9569455456807198
1,2,0.40,0.7488145676208225
1,2,0.45,0.9367891597197233
1,2,0.50,0.8986665856086989
1,2,0.55,-0.9997105216494393
1,2,0.60,0.8600689770575127
1,2,0.65,0.9328349221644935
1,2,0.70,0.9308851222808251
1,2,0.75,0.9797067934121455
1,2,0.80,0.7883826361116238
1,2,0.85,0.9370835556845903
1,2,0.90,0.9333674640982212
1,2,0.95,0.906837562802076
1,3,0.05,-0.3788484493820601
1,3,0.10,-2.843375946670153
1,3,0.15,0.5471859809409217
1,3,0.20,0.6382142094992769
1,3,0.25,0.7102302518946616
1,3,0.30,-1.1199990552525438
1,3,0.35,0.9212306550959306
1,3,0.40,0.9280821097053641
1,3,0.45,0.9797945030080437
1,3,0.50,0.8725188117406247
1,3,0.55,0.9312583228711727
1,3,0.60,0.9431687915216764
1,3,0.65,0.8915151898936082
1,3,0.70,0.8608544412335511
