random_seed,split_seed,sample_ratio,r2
0,0,0.05,-3.9437562643711095
0,0,0.10,-0.11340828651649848
0,0,0.15,0.17125970474222152
0,0,0.20,0.8620872271384525
0,0,0.25,0.8345929221013647
0,0,0.30,0.7808726180270764
0,0,0.35,0.9348986326422708
0,0,0.40,0.9742525615115374
0,0,0.45,0.9567798710025819
0,0,0.50,0.9519523722910593
0,0,0.55,0.9733642090432469
0,0,0.60,0.9623377440913595
0,0,0.65,0.9795157449155466
0,0,0.70,0.9603776583901452
0,0,0.75,0.9633413510534967
0,0,0.80,0.984021514495523
0,0,0.85,0.9880964168620042
0,0,0.90,0.9913191805701392
0,0,0.95,0.9783234866574229
0,1,0.05,0.7895439186688685
0,1,0.10,0.43753304719690367
0,1,0.15,0.40883917709671247
0,1,0.20,0.8710734486336988
0,1,0.25,0.9679079395243373
0,1,0.30,0.9262884962080882
0,1,0.35,0.6735924764877114
0,1,0.40,0.9503736756308901
0,1,0.45,0.9412772586530391
0,1,0.50,0.7179218417072268
0,1,0.55,0.9534761025286612
0,1,0.60,0.9713065335044668
0,1,0.65,0.965924810435462
0,1,0.70,0.7444843197952284
0,1,0.75,0.9866728716662658
0,1,0.80,0.9808324490121686
0,1,0.85,0.9774314901696654
0,1,0.90,0.9446986460225635
0,1,0.95,0.954796919470618
0,2,0.05,-2.076269290991848
0,2,0.10,0.7626659675642855
0,2,0.15,0.4328868229624232
0,2,0.20,-0.7589864720494681
0,2,0.25,0.9055238569518157
0,2,0.30,0.9021632349590982
0,2,0.35,0.5190527664228999
0,2,0.40,0.963746710850411
0,2,0.45,0.9653453318565983
0,2,0.50,0.6625451590906968
0,2,0.55,0.9789091826838958
0,2,0.60,0.9779137546446547
0,2,0.65,0.9665916171936045
0,2,0.70,0.9550221285879422
0,2,0.75,0.9739026206822773
0,2,0.80,0.9695676741644517
0,2,0.85,0.9560648506745599
0,2,0.90,0.9822082137658675
0,2,0.95,0.9859576199205963
0,3,0.05,-0.10215421096408961
0,3,0.10,0.6432307781631581
0,3,0.15,0.6907364889937648
0,3,0.20,0.899575298697102
0,3,0.25,0.6213327318146664
0,3,0.30,0.9246143360181517
0,3,0.35,0.9518309135138046
0,3,0.40,0.9729077175077331
0,3,0.45,0.7711005010537169
0,3,0.50,0.9461413431031935
0,3,0.55,0.9569234859360289
0,3,0.60,0.9684841581491705
0,3,0.65,0.9598370057921438
0,3,0.70,0.9746812613686568
0,3,0.75,0.9847202236549455
0,3,0.80,0.9830706658218027
0,3,0.85,0.9722684191445627
0,3,0.90,0.9789444944373211
0,3,0.95,0.8296309598875281
0,4,0.05,-2.975387826297064
0,4,0.10,0.5083196213961805
0,4,0.15,0.6342923550202205
0,4,0.20,0.7583576848745073
0,4,0.25,0.8802395353698638
0,4,0.30,0.7889973569562425
0,4,0.35,0.9220811925543266
0,4,0.40,0.9606669278394037
0,4,0.45,0.8850763894375945
0,4,0.50,0.9497786300021352
0,4,0.55,0.9523418108512421
0,4,0.60,0.9743700844249613
0,4,0.65,0.9641757182930075
0,4,0.70,0.9683740439618823
0,4,0.75,0.9604989665039229
0,4,0.80,0.9742683038984727
0,4,0.85,0.978856182350452
0,4,0.90,0.9785921316213242
0,4,0.95,0.9855733754392962
0,5,0.05,-0.13920393914620455
0,5,0.10,0.6544784712056118
0,5,0.15,0.30656952332272536
0,5,0.20,0.9151457390494245
0,5,0.25,0.853766233657811
0,5,0.30,0.8930598429638021
0,5,0.35,0.6001971031805923
0,5,0.40,0.9177745605000185
0,5,0.45,0.9711065497495157
0,5,0.50,0.9674330817280017
0,5,0.55,0.9764777379962576
0,5,0.60,0.9286414301179621
0,5,0.65,0.9518839260001004
0,5,0.70,0.8732013463438787
0,5,0.75,0.8841612785984341
0,5,0.80,0.9027747224711588
0,5,0.85,0.9116580837737625
0,5,0.90,0.9817140785391848
0,5,0.95,0.9742478203004541
0,6,0.05,0.8145906735010353
0,6,0.10,0.4018093010585666
0,6,0.15,0.8427314246329468
0,6,0.20,0.8843251712260642
0,6,0.25,0.9481777898875342
0,6,0.30,0.9327314983242668
0,6,0.35,0.8617435217955981
0,6,0.40,0.7717608672108203
0,6,0.45,0.9360225646709899
0,6,0.50,0.9114940600011748
0,6,0.55,0.9764647213641726
0,6,0.60,0.9775094931463866
0,6,0.65,0.964793357396351
0,6,0.70,0.963281136009709
0,6,0.75,0.9656213629895183
0,6,0.80,0.9074726139557394
0,6,0.85,0.9789042690365548
0,6,0.90,0.9712919231341477
0,6,0.95,0.9855841281098359
0,7,0.05,-0.6044206778183181
0,7,0.10,0.8651936431288785
0,7,0.15,0.9215778268044937
0,7,0.20,0.9216266582178421
0,7,0.25,0.9129226277369894
0,7,0.30,0.8800092552648042
0,7,0.35,0.8261794681639414
0,7,0.40,0.8672156233176864
0,7,0.45,0.9559149060866265
0,7,0.50,0.9764709961288799
0,7,0.55,0.9632807348261204
0,7,0.60,0.9159388964544288
0,7,0.65,0.9580884371670964
0,7,0.70,0.9708569362884557
