random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.24464073653673823
0,0,0.10,0.703203784084869
0,0,0.15,0.9994966344093775
0,0,0.20,0.9998604906909823
0,0,0.25,0.9995798798079532
0,0,0.30,0.9989611678363572
0,0,0.35,0.9999175800885896
0,0,0.40,0.9998817582613575
0,0,0.45,0.9887458429531678
0,0,0.50,0.9996327545717386
0,0,0.55,0.9937878218783968
0,0,0.60,0.9996923823650049
0,0,0.65,0.9957714240014632
0,0,0.70,0.9997168017794537
0,0,0.75,0.9962116595983849
0,0,0.80,0.9999416490376025
0,0,0.85,0.9999481783972163
0,0,0.90,0.9999399238462352
0,0,0.95,0.9999533927790324
0,1,0.05,0.46261106282557696
0,1,0.10,0.8586877886997353
0,1,0.15,0.9979733375242884
0,1,0.20,0.9847766261802308
0,1,0.25,0.9925176268802414
0,1,0.30,0.9992604735607714
0,1,0.35,0.9993207001600757
0,1,0.40,0.9990420940413363
0,1,0.45,0.968382012863137
0,1,0.50,0.9756370801568385
0,1,0.55,0.9957708921199699
0,1,0.60,0.9999563085996985
0,1,0.65,0.9996430306394988
0,1,0.70,0.9997137294030701
0,1,0.75,0.9993426342151317
0,1,0.80,0.9995366465648199
0,1,0.85,0.9999439124144441
0,1,0.90,0.9999546598382493
0,1,0.95,0.9999104451197944
0,2,0.05,0.9531229715471937
0,2,0.10,0.524455574038023
0,2,0.15,0.684653175165961
0,2,0.20,0.9993678127201922
0,2,0.25,0.9998390872311701
0,2,0.30,0.9999575771342893
0,2,0.35,0.9982946635447686
0,2,0.40,0.9998998434985972
0,2,0.45,0.6025732596281854
0,2,0.50,0.9998810693619916
0,2,0.55,0.9996422990676367
0,2,0.60,0.9999490531853148
0,2,0.65,0.998364822494096
0,2,0.70,0.9854144367672024
0,2,0.75,0.9954314035325953
0,2,0.80,0.9999687811807115
0,2,0.85,0.9995231685604757
0,2,0.90,0.999968753263641
0,2,0.95,0.9952761846792969
0,3,0.05,0.9603092068877837
0,3,0.10,0.9807427705456928
0,3,0.15,0.9534000161426711
0,3,0.20,0.9997975163443401
0,3,0.25,0.9994071087678841
0,3,0.30,0.999867670665588
0,3,0.35,0.9999583311147361
0,3,0.40,0.9999399324789844
0,3,0.45,0.9998440517818582
0,3,0.50,0.999809121762995
0,3,0.55,0.6677483719772965
0,3,0.60,0.9957772501957551
0,3,0.65,0.9995267562041003
0,3,0.70,0.999937243757662
0,3,0.75,0.9997539393843707
0,3,0.80,0.9999510192375997
0,3,0.85,0.9998969514645375
0,3,0.90,0.9995359564160206
0,3,0.95,0.999386506985091
0,4,0.05,-0.002162183777568938
0,4,0.10,0.822853719881059
0,4,0.15,0.5122986900589014
0,4,0.20,0.9976597547341733
0,4,0.25,0.9967511171871114
0,4,0.30,0.9992149665105936
0,4,0.35,0.9875512828044409
0,4,0.40,0.9994570076341337
0,4,0.45,0.6140852378218464
0,4,0.50,0.9995204599246719
0,4,0.55,0.5857762119200238
0,4,0.60,0.9998890226447154
0,4,0.65,0.9998994353078822
0,4,0.70,0.9997841300185714
0,4,0.75,0.9999446689977636
0,4,0.80,0.9999507541043643
0,4,0.85,0.9998938091736636
0,4,0.90,0.9996439983563941
0,4,0.95,0.9999405442557111
0,5,0.05,0.05276925189655546
0,5,0.10,0.9959349111527583
0,5,0.15,0.9992941055139515
0,5,0.20,0.6850628744375638
0,5,0.25,0.999492022179488
0,5,0.30,0.9997595185868591
0,5,0.35,0.9827563266719122
0,5,0.40,0.9999343559125066
0,5,0.45,0.9998374513190401
0,5,0.50,0.9999612403191807
0,5,0.55,0.9995043572345386
0,5,0.60,0.9971807271632412
0,5,0.65,0.9993220399280396
0,5,0.70,0.9998132384425945
0,5,0.75,0.9989218075520296
0,5,0.80,0.9999302191136525
0,5,0.85,0.9994589874020569
0,5,0.90,0.9995433831731675
0,5,0.95,0.9998589602794115
0,6,0.05,0.2228479574299923
0,6,0.10,0.9709389485924736
0,6,0.15,0.6840697214857936
0,6,0.20,0.6306878679345442
0,6,0.25,0.9984729208084335
0,6,0.30,0.6305038592380179
0,6,0.35,0.9999268919169296
0,6,0.40,0.9996098545878989
0,6,0.45,0.9998986534540854
0,6,0.50,0.9999002258492898
0,6,0.55,0.999135548722116
0,6,0.60,0.9979551711171625
0,6,0.65,0.995839107061371
0,6,0.70,0.9997292275931214
0,6,0.75,0.9949355349733076
0,6,0.80,0.9972236291140503
0,6,0.85,0.9998614915713804
0,6,0.90,0.9999640122613104
0,6,0.95,0.9992512562254632
0,7,0.05,-0.9240667929757294
0,7,0.10,0.650296289933905
0,7,0.15,0.9992684912614422
0,7,0.20,0.9995139934933103
0,7,0.25,0.9795256773597452
0,7,0.30,0.9979197245008207
0,7,0.35,0.9987747294282684
0,7,0.40,0.9999553813435832
0,7,0.45,0.6093499885496525
0,7,0.50,0.9993482661072876
0,7,0.55,0.6325507405533463
0,7,0.60,0.9995873865389617
0,7,0.65,0.9999773997222304
0,7,0.70,0.9836931620730872
0,7,0.75,0.9998568742962949
0,7,0.80,0.9995768061940641
0,7,0.85,0.9998550794232564
0,7,0.90,0.9972620342347773
0,7,0.95,0.9973790990904119
0,8,0.05,-0.45695394642281095
0,8,0.10,0.9661032392087526
0,8,0.15,0.5527565440387339
0,8,0.20,0.9882708953238878
0,8,0.25,0.9933665276379916
0,8,0.30,0.9997097293040188
0,8,0.35,0.9998865885382507
0,8,0.40,0.9943914754327865
0,8,0.45,0.9991337033350147
0,8,0.50,0.9743216582279424
0,8,0.55,0.999875676523304
0,8,0.60,0.9985631703721163
0,8,0.65,0.9947832577950291
0,8,0.70,0.6032721569978573
0,8,0.75,0.6644264141581182
0,8,0.80,0.9992706788337988
0,8,0.85,0.9996688323212424
0,8,0.90,0.9993284928635473
0,8,0.95,0.9998390871580912
0,9,0.05,0.20994832960259358
0,9,0.10,0.9965274971916814
0,9,0.15,0.9808412291205668
0,9,0.20,0.9999758020697173
0,9,0.25,0.9992314964940875
0,9,0.30,0.9998275992345487
0,9,0.35,0.9981685019536406
0,9,0.40,0.9997697087735666
0,9,0.45,0.9990801823995267
0,9,0.50,0.9997045305237424
0,9,0.55,0.9956989852854243
0,9,0.60,0.9981034740945898
0,9,0.65,0.9876866229707906
0,9,0.70,0.9986905368214143
0,9,0.75,0.999960339632882
0,9,0.80,0.9997335571380742
0,9,0.85,0.9999628486456227
0,9,0.90,0.9996593677443788
0,9,0.95,0.9983477002570915
1,0,0.05,0.8915401748122095
1,0,0.10,0.998611536780424
1,0,0.15,0.9984784936149467
1,0,0.20,0.9991008666255518
1,0,0.25,0.9999018910096806
1,0,0.30,0.9869719107114532
1,0,0.35,0.9998403732427463
1,0,0.40,0.9998398635747087
1,0,0.45,0.9993264909560424
1,0,0.50,0.9999474525421743
1,0,0.55,0.9978619931338991
1,0,0.60,0.9780902263864759
1,0,0.65,0.9951901630191902
1,0,0.70,0.9882125376443657
1,0,0.75,0.679111634696439
1,0,0.80,0.9992635711869517
1,0,0.85,0.9950292611686322
1,0,0.90,0.9994206966154082
1,0,0.95,0.9999448642712176
1,1,0.05,-0.3815471397657082
1,1,0.10,0.9945465716376135
1,1,0.15,0.9988332213698441
1,1,0.20,0.996765966070751
1,1,0.25,0.9995786040909244
1,1,0.30,0.9990302562706028
1,1,0.35,0.998880463265114
1,1,0.40,0.9939835595842865
1,1,0.45,0.9999488999982349
1,1,0.50,0.6728319138696662
1,1,0.55,0.9999056197164169
1,1,0.60,0.999887591652986
1,1,0.65,0.9993799494060964
1,1,0.70,0.9999228191529176
1,1,0.75,0.9992746423807457
1,1,0.80,0.999907606891708
1,1,0.85,0.9992827913591883
1,1,0.90,0.9999260622866752
