random_seed,split_seed,sample_ratio,r2
0,0,0.05,0.9764764446713922
0,0,0.10,0.9919165436567309
0,0,0.15,0.9962522580801975
0,0,0.20,0.9980846394170371
0,0,0.25,0.9980144323702411
0,0,0.30,0.9979726868870152
0,0,0.35,0.9968834616463714
0,0,0.40,0.9973527485267379
0,0,0.45,0.9948101832826236
0,0,0.50,0.998241107718519
0,0,0.55,0.9946022461699263
0,0,0.60,0.9918858626544358
0,0,0.65,0.9951805963810793
0,0,0.70,0.9977440570549495
0,0,0.75,0.9917642834653873
0,0,0.80,0.9961180029998524
0,0,0.85,0.997840167526825
0,0,0.90,0.9957005076499535
0,0,0.95,0.9972635103323524
0,1,0.05,0.9826441014822899
0,1,0.10,0.9962868946742336
0,1,0.15,0.9953722705605785
0,1,0.20,0.9971495583312954
0,1,0.25,0.9918383787855121
0,1,0.30,0.9971602991457915
0,1,0.35,0.9977237603348724
0,1,0.40,0.9938331995316738
0,1,0.45,0.9981419491216752
0,1,0.50,0.9932057842173737
0,1,0.55,0.9948350542779346
0,1,0.60,0.9948590819240513
0,1,0.65,0.9972122761096959
0,1,0.70,0.9977612348889756
0,1,0.75,0.9938208987101121
0,1,0.80,0.9981568656192144
0,1,0.85,0.9914090449551232
0,1,0.90,0.9923460605061017
0,1,0.95,0.9956937400136505
0,2,0.05,0.9799368887455114
0,2,0.10,0.9926151670280171
0,2,0.15,0.995447408636823
0,2,0.20,0.9977413584860639
0,2,0.25,0.9941790636371973
0,2,0.30,0.9963121974805035
0,2,0.35,0.990616181168069
0,2,0.40,0.9946627051134576
0,2,0.45,0.9927768644396007
0,2,0.50,0.9957117439899493
0,2,0.55,0.9921776296248938
0,2,0.60,0.9970903730499023
0,2,0.65,0.997891649030092
0,2,0.70,0.9978608152213131
0,2,0.75,0.9947384244748835
0,2,0.80,0.9924528506758974
0,2,0.85,0.9925043222125665
0,2,0.90,0.997208203616698
0,2,0.95,0.9972154399963598
0,3,0.05,0.9720146353046831
0,3,0.10,0.9956166887495987
0,3,0.15,0.994328452208616
0,3,0.20,0.9932026847648099
0,3,0.25,0.9940886593960447
0,3,0.30,0.9967979927189825
0,3,0.35,0.9969360855469186
0,3,0.40,0.9918162496663278
0,3,0.45,0.9956454338334979
0,3,0.50,0.9932198674204707
0,3,0.55,0.997114935896498
0,3,0.60,0.9965021038923529
0,3,0.65,0.9953944029585722
0,3,0.70,0.996043490220949
0,3,0.75,0.9976142209353127
0,3,0.80,0.9923605518082553
0,3,0.85,0.9975306005781076
