random_seed,split_seed,sample_ratio,r2
0,0,0.05,-3.9437562643711095
0,0,0.10,0.7325164527427686
0,0,0.15,0.4948443651937551
0,0,0.20,0.718074553925391
0,0,0.25,0.8400324380493863
0,0,0.30,0.9032631685665413
0,0,0.35,0.6528133846106886
0,0,0.40,0.9004310112779075
0,0,0.45,0.8619951880658062
0,0,0.50,0.8668674273479384
0,0,0.55,0.9701114532483912
0,0,0.60,0.6404415667868496
0,0,0.65,0.6907547111229757
0,0,0.70,0.9777279381813698
0,0,0.75,0.97858463918466
0,0,0.80,0.9520921987336107
0,0,0.85,0.9516668432716763
0,0,0.90,0.9622973343094703
0,0,0.95,0.960349272809991
0,1,0.05,0.7895439186688685
0,1,0.10,-0.4181212143013424
0,1,0.15,0.38623348529859236
0,1,0.20,0.7535329411552962
0,1,0.25,0.782263694749707
0,1,0.30,0.9046832360491498
0,1,0.35,0.7644781478337808
0,1,0.40,0.9024397708511466
0,1,0.45,0.8172574168659719
0,1,0.50,0.9695287707209042
0,1,0.55,0.7203843183265033
0,1,0.60,0.9674910031934525
0,1,0.65,0.9908287653993394
0,1,0.70,0.924772834429995
0,1,0.75,0.9778165408307478
0,1,0.80,0.9718929134305054
0,1,0.85,0.9725559031998775
0,1,0.90,0.9845228641897121
0,1,0.95,0.8637580839672612
0,2,0.05,-2.076269290991848
0,2,0.10,0.06364959299987605
0,2,0.15,0.63094827697073
0,2,0.20,0.7151692937651659
0,2,0.25,0.9574151198069443
0,2,0.30,0.8091615510051354
0,2,0.35,0.767591813967054
0,2,0.40,0.9395586078828725
0,2,0.45,0.9685295116108238
0,2,0.50,0.8479722885228145
0,2,0.55,0.8486625349243255
0,2,0.60,0.7541590842620645
0,2,0.65,0.9212582675333904
0,2,0.70,0.9862838547622992
0,2,0.75,0.9551597922020577
0,2,0.80,0.9700977768289354
0,2,0.85,0.9667184457725942
0,2,0.90,0.9729122738512028
0,2,0.95,0.9743427403315668
0,3,0.05,-0.10215421096408961
0,3,0.10,-0.4349929970254094
0,3,0.15,0.5447439420103583
0,3,0.20,-0.629867497448773
0,3,0.25,0.7792477961066655
0,3,0.30,0.77767389546826
0,3,0.35,0.8397848221946947
0,3,0.40,0.9100895735972478
0,3,0.45,0.8138576395007624
0,3,0.50,0.971799851458512
0,3,0.55,0.9675543972780002
0,3,0.60,0.7501862597083329
0,3,0.65,0.8806052815515623
0,3,0.70,0.9732844527637184
0,3,0.75,0.979654968265618
0,3,0.80,0.9733322402749609
0,3,0.85,0.9774156295054668
0,3,0.90,0.9879645453974091
0,3,0.95,0.9725621204972962
0,4,0.05,-2.975387826297064
0,4,0.10,-4.555549399914194
0,4,0.15,0.9470137451075981
0,4,0.20,0.7269880262079553
0,4,0.25,0.6821073994881974
0,4,0.30,0.907953305699823
0,4,0.35,0.8110183096743933
0,4,0.40,0.839312410331733
0,4,0.45,0.9760486578365948
0,4,0.50,0.9697826656949198
0,4,0.55,0.9612643037150275
0,4,0.60,0.9734215428424047
0,4,0.65,0.9488782478151937
0,4,0.70,0.9314131728174597
0,4,0.75,0.9819254585190784
0,4,0.80,0.9751738671364895
0,4,0.85,0.9798530946680355
0,4,0.90,0.9607398611119063
0,4,0.95,0.9616318672699053
0,5,0.05,-0.13920393914620455
0,5,0.10,-0.725899687675329
0,5,0.15,0.6858319483422348
0,5,0.20,0.4839310252556389
0,5,0.25,0.8755176590174333
0,5,0.30,0.8548630882689925
0,5,0.35,0.7816063055981378
0,5,0.40,0.7302628758548027
0,5,0.45,0.8144389949990485
0,5,0.50,0.9461831422735884
0,5,0.55,0.9747179907134503
0,5,0.60,0.9764246754689627
0,5,0.65,0.9684984872427679
0,5,0.70,0.9694246900012881
0,5,0.75,0.7404338234797591
0,5,0.80,0.9726909136116153
0,5,0.85,0.9815929683773681
0,5,0.90,0.9453560852191465
0,5,0.95,0.9889215298487524
0,6,0.05,0.8145906735010353
0,6,0.10,0.5028256648247902
0,6,0.15,-0.2711402230813289
0,6,0.20,0.7416734258528697
0,6,0.25,0.8963670157013498
0,6,0.30,0.8835118278319276
0,6,0.35,0.8108697904003977
0,6,0.40,0.6107035667544245
0,6,0.45,0.9177767083228694
0,6,0.50,0.9194981471069525
0,6,0.55,0.6424219710478287
0,6,0.60,0.9786618812696198
0,6,0.65,0.8674194896973781
0,6,0.70,0.9564678552510762
0,6,0.75,0.9316763628545236
0,6,0.80,0.9831914875797324
0,6,0.85,0.7504485931764596
0,6,0.90,0.9777943776109741
0,6,0.95,0.9350131206033101
0,7,0.05,-0.6044206778183181
0,7,0.10,0.28609953158155155
0,7,0.15,-0.475500063130869
0,7,0.20,0.5958762719650683
0,7,0.25,0.9018363786025424
0,7,0.30,0.8408251800800643
0,7,0.35,0.8897188974013207
0,7,0.40,0.951067177752823
0,7,0.45,0.9488619708492971
0,7,0.50,0.9718477246875338
0,7,0.55,0.9350336031735325
0,7,0.60,0.8260230182871132
0,7,0.65,0.8235556038054883
0,7,0.70,0.9787864772000588
0,7,0.75,0.9606230163998994
0,7,0.80,0.9766497802544274
0,7,0.85,0.9758047705185148
0,7,0.90,0.9692665662940595
0,7,0.95,0.9873402576742477
0,8,0.05,0.19105717089781893
0,8,0.10,-0.6631455445883727
0,8,0.15,0.6925118577508316
0,8,0.20,0.800296383826698
0,8,0.25,0.3208846643884167
0,8,0.30,0.7861015905874993
0,8,0.35,0.9535450004741606
0,8,0.40,0.95310286807898
0,8,0.45,0.9377434215245235
0,8,0.50,0.7661623844816433
0,8,0.55,0.8035102017185694
0,8,0.60,0.9341422365639624
0,8,0.65,0.7971946858227583
0,8,0.70,0.9494555786077707
0,8,0.75,0.9686509826601615
0,8,0.80,0.9719063140784108
0,8,0.85,0.9920221958314434
0,8,0.90,0.9856730978159002
0,8,0.95,0.9863248659077869
0,9,0.05,-0.12748556957001989
0,9,0.10,-0.778628091668599
0,9,0.15,0.6776184869269737
0,9,0.20,-0.5839119904235672
0,9,0.25,0.935224023828941
0,9,0.30,0.6502049432036914
0,9,0.35,0.9672851376287908
0,9,0.40,0.923446910028929
0,9,0.45,0.8007296224056607
0,9,0.50,0.9510603020290551
0,9,0.55,0.9485238502665643
0,9,0.60,0.9505538981883923
0,9,0.65,0.9804392652907625
0,9,0.70,0.8213707291167571
0,9,0.75,0.9752221827726038
0,9,0.80,0.9588375223714904
0,9,0.85,0.977530777097006
0,9,0.90,0.9744545192461121
0,9,0.95,0.9816427316037667
1,0,0.05,0.1799294618222096
1,0,0.10,-0.3945343885377852
1,0,0.15,0.9047485326323698
1,0,0.20,0.7307458136131635
1,0,0.25,0.42744410209580863
1,0,0.30,0.9551937768570631
1,0,0.35,0.9543429331642231
1,0,0.40,0.9635193165795566
1,0,0.45,0.9506802856492577
1,0,0.50,0.9179566703946597
1,0,0.55,0.9586502060542326
1,0,0.60,0.9863732898931946
1,0,0.65,0.9677643403418169
1,0,0.70,0.9446555781114199
1,0,0.75,0.9230535567891351
1,0,0.80,0.9587472691789971
1,0,0.85,0.9562755483171428
1,0,0.90,0.6967810072400369
1,0,0.95,0.9771448963624693
1,1,0.05,0.9467844419584408
1,1,0.10,-0.3947087229525841
1,1,0.15,0.5813538353580862
1,1,0.20,0.8079550330518738
1,1,0.25,0.954710801447851
1,1,0.30,0.9104055994749152
1,1,0.35,0.9222010293647064
1,1,0.40,0.9687957816330309
1,1,0.45,0.9041659561559228
1,1,0.50,0.9785875678603752
1,1,0.55,0.8843583705229101
1,1,0.60,0.9756136100800679
1,1,0.65,0.9604911664538289
1,1,0.70,0.9547840354953174
1,1,0.75,0.9510549087481197
1,1,0.80,0.9722078451519851
1,1,0.85,0.9758943686873875
1,1,0.90,0.9808824923240937
1,1,0.95,0.9644681480876823
1,2,0.05,0.0788095365909518
1,2,0.10,-7.370020217542823
1,2,0.15,0.948034387282417
1,2,0.20,0.8874734326954645
1,2,0.25,0.9027826925886973
1,2,0.30,0.929064554588221
1,2,0.35,0.8911201502327458
1,2,0.40,0.9389253643665854
1,2,0.45,0.9643638877078486
1,2,0.50,0.9696622824727867
1,2,0.55,0.9756572401191396
1,2,0.60,0.9722189794273366
1,2,0.65,0.9127507350946293
1,2,0.70,0.9665700088670064
1,2,0.75,0.9817726926836716
1,2,0.80,0.9643144544243815
1,2,0.85,0.9433234209743888
1,2,0.90,0.968251017397838
1,2,0.95,0.9671252705965909
1,3,0.05,-0.9004847837812211
1,3,0.10,0.766689461494021
1,3,0.15,0.8532756832819443
1,3,0.20,0.11186563750677336
1,3,0.25,0.936456475656241
1,3,0.30,0.6076040764451404
1,3,0.35,0.9171066680465171
1,3,0.40,0.9368330886711292
1,3,0.45,0.9690636665984412
1,3,0.50,0.9479564726549597
1,3,0.55,0.9686264165002012
1,3,0.60,0.8070883131729809
1,3,0.65,0.8842524012490225
1,3,0.70,0.9165610949126674
1,3,0.75,0.7568417767142515
1,3,0.80,0.9711091538313174
1,3,0.85,0.729753437127884
1,3,0.90,0.8351937014347313
1,3,0.95,0.9200782558283791
1,4,0.05,-0.8011463722683703
1,4,0.10,0.8752229653932705
1,4,0.15,0.8837907064817184
1,4,0.20,0.153872643116434
1,4,0.25,0.8639969028841341
1,4,0.30,0.9061256262754139
1,4,0.35,0.9262891570075036
1,4,0.40,0.940359523242459
1,4,0.45,0.9670118962277277
1,4,0.50,0.9803612195404066
1,4,0.55,0.9839011129526839
1,4,0.60,0.9430571309812021
1,4,0.65,0.96691617409624
1,4,0.70,0.9701022164786606
1,4,0.75,0.9721063552213138
1,4,0.80,0.9855901863717677
1,4,0.85,0.9798150878945874
1,4,0.90,0.9633968237167272
1,4,0.95,0.9818657175144906
1,5,0.05,0.9299880532631333
1,5,0.10,-0.790418325791161
1,5,0.15,-1.9447091264191458
1,5,0.20,0.7532642226647055
1,5,0.25,0.8365698830234014
1,5,0.30,0.9500710785773785
1,5,0.35,0.9573050452701277
1,5,0.40,0.7033240183046546
1,5,0.45,0.9649431181921316
1,5,0.50,0.9731147113033862
1,5,0.55,0.9263840634425973
1,5,0.60,0.9340711445608212
1,5,0.65,0.9773020908981784
1,5,0.70,0.9740761132832252
1,5,0.75,0.9500759801491399
1,5,0.80,0.974179853452913
1,5,0.85,0.9641829886930763
1,5,0.90,0.9784486885085961
1,5,0.95,0.9688105317794438
1,6,0.05,0.8616124355396532
1,6,0.10,0.8515615087210832
1,6,0.15,0.40044745486170585
1,6,0.20,0.8725837361404724
1,6,0.25,0.8829065224997492
1,6,0.30,0.6453426566485119
1,6,0.35,0.9623038518414014
1,6,0.40,0.9049313482971248
1,6,0.45,0.9357989184164811
1,6,0.50,0.9385594522314655
1,6,0.55,0.6569856169734624
1,6,0.60,0.9471356764763924
1,6,0.65,0.965706124393977
1,6,0.70,0.9685924655341045
1,6,0.75,0.9619640122312804
1,6,0.80,0.9621814766773489
1,6,0.85,0.9831127700303988
1,6,0.90,0.9867084087428912
1,6,0.95,0.9562417998597956
1,7,0.05,0.6648803169350912
1,7,0.10,-0.024792191740811376
1,7,0.15,0.7549975531408164
1,7,0.20,0.5602343964328222
1,7,0.25,0.9168721489788243
1,7,0.30,0.7663634063661242
1,7,0.35,0.9703220383748669
1,7,0.40,0.9690204409287746
1,7,0.45,0.9134567412462942
1,7,0.50,0.986585927724108
1,7,0.55,0.9070573410035543
1,7,0.60,0.9783790102097988
1,7,0.65,0.9545922154517327
1,7,0.70,0.9799997570215058
1,7,0.75,0.9544715042979188
1,7,0.80,0.9754562896873098
1,7,0.85,0.966486807537808
1,7,0.90,0.9591623153962144
1,7,0.95,0.971887466308128
1,8,0.05,-9.52782472739257
1,8,0.10,0.36258135627031685
1,8,0.15,0.7473057337439459
1,8,0.20,0.9418669527439228
1,8,0.25,0.8669827363026712
1,8,0.30,0.6772266176686665
1,8,0.35,0.8305958774370782
1,8,0.40,0.935639656662241
1,8,0.45,0.9405970594005444
1,8,0.50,0.9743343656230655
1,8,0.55,0.8829910033810905
1,8,0.60,0.9893373632841793
1,8,0.65,0.9303108640019967
1,8,0.70,0.9692431474157449
1,8,0.75,0.9501676329470286
1,8,0.80,0.9523484805824339
1,8,0.85,0.974224357650241
1,8,0.90,0.9675261496433689
1,8,0.95,0.9648514056953759
1,9,0.05,-0.21584181685521742
1,9,0.10,0.5307951107031113
1,9,0.15,0.922794241088821
1,9,0.20,0.9157486695604075
1,9,0.25,0.8960796577268958
1,9,0.30,0.6952148912220515
1,9,0.35,0.8340663595125231
1,9,0.40,0.9221368442412833
1,9,0.45,0.9735962101527227
1,9,0.50,0.961180528534684
1,9,0.55,0.9658223422129758
1,9,0.60,0.953380173883452
1,9,0.65,0.5931278975000118
1,9,0.70,0.9807979282569877
1,9,0.75,0.9608804416557089
1,9,0.80,0.9720554091252704
1,9,0.85,0.9792840803111427
1,9,0.90,0.9453708158017131
1,9,0.95,0.977607425764165
2,0,0.05,-0.08910790219609299
2,0,0.10,-6.408444065566273
2,0,0.15,0.2792330922019064
2,0,0.20,-2.0731125382356037
2,0,0.25,0.4961818467110207
2,0,0.30,0.932848454879275
2,0,0.35,0.8804727480991795
2,0,0.40,0.9565177719433179
2,0,0.45,0.8989269102970632
2,0,0.50,0.9795555210813075
2,0,0.55,0.9688922525520273
2,0,0.60,0.884092814827121
2,0,0.65,0.9680483434374771
2,0,0.70,0.9812222248325981
2,0,0.75,0.9714704515186241
2,0,0.80,0.9475656835084288
2,0,0.85,0.9405273669074671
2,0,0.90,0.9776056895475993
2,0,0.95,0.9739051841883077
2,1,0.05,0.07689888161996339
2,1,0.10,0.14772501252155845
2,1,0.15,-1.9055079754451936
2,1,0.20,0.4930007748642442
2,1,0.25,0.9607030367182398
2,1,0.30,0.8399139831160746
2,1,0.35,0.9352712183700598
2,1,0.40,0.963015832873111
2,1,0.45,0.9328075002344821
2,1,0.50,0.9419760535754242
2,1,0.55,0.9505330718679105
2,1,0.60,0.9206436917775564
2,1,0.65,0.9597020698500677
2,1,0.70,0.9635873387681759
2,1,0.75,0.9293111363600461
2,1,0.80,0.9772752610263131
2,1,0.85,0.983208171088485
2,1,0.90,0.9571608224575799
2,1,0.95,0.9850031317330485
2,2,0.05,-0.8731196367556486
2,2,0.10,-0.7866388540866875
2,2,0.15,0.6791641772799528
2,2,0.20,-0.34431073407748514
2,2,0.25,-0.6227748582376995
2,2,0.30,0.06299766343781799
2,2,0.35,0.8701597696172417
2,2,0.40,0.9657386769899813
2,2,0.45,0.8558130452196759
2,2,0.50,-0.5002211080049286
2,2,0.55,0.9268695084264601
2,2,0.60,0.9573496258313401
2,2,0.65,0.9777568193854407
2,2,0.70,0.9780861365561249
2,2,0.75,0.9814683116409578
2,2,0.80,0.9625133241148174
2,2,0.85,0.9622942926270946
2,2,0.90,0.9479193153309124
2,2,0.95,0.9694356604071864
2,3,0.05,-34.99548873332305
2,3,0.10,-7.17970242596617
2,3,0.15,0.47351278483296366
2,3,0.20,0.8213233613930266
2,3,0.25,0.5597408030076892
2,3,0.30,0.9229694176596419
2,3,0.35,0.9143210610899457
2,3,0.40,0.9540335091923162
2,3,0.45,0.9493468900829386
2,3,0.50,0.9344642312242661
2,3,0.55,0.9300198888549672
2,3,0.60,0.9495780827611656
2,3,0.65,0.976625408449921
2,3,0.70,0.9719879035890208
2,3,0.75,0.9717026707194518
2,3,0.80,0.9543629368018736
2,3,0.85,0.842306188737157
2,3,0.90,0.9791983453793826
2,3,0.95,0.9787089812647016
2,4,0.05,-0.1689285831861813
2,4,0.10,0.18896741730094235
2,4,0.15,0.6968831789512642
2,4,0.20,0.6214611519765275
2,4,0.25,0.31337171923442897
2,4,0.30,0.8465644353782311
2,4,0.35,0.9148592133598028
2,4,0.40,0.9129276757467728
2,4,0.45,0.9557340979445956
2,4,0.50,0.9233383459804432
2,4,0.55,0.9722693524480611
2,4,0.60,0.9448848044775608
2,4,0.65,0.9647290914849045
2,4,0.70,0.9610200257815238
2,4,0.75,0.7318707355316334
2,4,0.80,0.9704679904145541
2,4,0.85,0.9756717336588263
2,4,0.90,0.8440817113528267
2,4,0.95,0.9861525601743603
2,5,0.05,0.4582055563982804
2,5,0.10,-0.2854463549744757
2,5,0.15,0.5709196652529358
2,5,0.20,0.22839783242611722
2,5,0.25,0.8930591180895047
2,5,0.30,0.9444762478798872
2,5,0.35,0.8978685326952763
2,5,0.40,0.9284217695101393
2,5,0.45,0.9297534509003557
