random_seed,split_seed,sample_ratio,r2
0,0,0.05,-0.887211948904415
0,0,0.10,0.6822663874769493
0,0,0.15,0.778219843183104
0,0,0.20,0.8788638010644005
0,0,0.25,0.6277878979139491
0,0,0.30,0.9386381099820247
0,0,0.35,0.7877303278306584
0,0,0.40,0.8810699556707671
0,0,0.45,0.9060819748127846
0,0,0.50,0.9192566538829957
0,0,0.55,0.9381979431979018
0,0,0.60,0.9315949366704405
0,0,0.65,0.9539986891960702
0,0,0.70,0.9493826937086185
0,0,0.75,0.8849453270516222
0,0,0.80,0.9110631790506685
0,0,0.85,0.9200262366456516
0,0,0.90,0.8906092263708355
0,0,0.95,0.9181715730788358
0,1,0.05,-0.9114981861888423
0,1,0.10,-0.027310304822721676
0,1,0.15,0.812686967687603
0,1,0.20,0.8218729698036643
0,1,0.25,0.8931940631156401
0,1,0.30,0.8846527304550201
0,1,0.35,0.868621149901887
0,1,0.40,0.9021939080460146
0,1,0.45,0.8476961054750434
0,1,0.50,0.9367199853630437
0,1,0.55,0.9460091683964318
0,1,0.60,0.959208102523361
0,1,0.65,0.8949624548667261
0,1,0.70,0.9056225495805467
0,1,0.75,0.9555598149340284
0,1,0.80,0.9590305634699536
0,1,0.85,0.905063012984462
0,1,0.90,0.9173536027799326
0,1,0.95,0.9436090592856105
0,2,0.05,0.39558884384985527
0,2,0.10,0.753617719206018
0,2,0.15,0.8388061427243302
0,2,0.20,0.9010537515751759
0,2,0.25,0.9123780195980038
0,2,0.30,0.8982997426019796
0,2,0.35,0.7527453098293955
0,2,0.40,0.9251973567280488
0,2,0.45,0.9321857608431197
0,2,0.50,0.8973168230309154
0,2,0.55,0.9148154922794806
0,2,0.60,0.8884279537806034
0,2,0.65,0.9194861381007904
0,2,0.70,0.9572158960731438
0,2,0.75,0.8666476458547425
0,2,0.80,0.9512616489015228
0,2,0.85,0.9304118799329041
0,2,0.90,0.895296074921697
0,2,0.95,0.8679023006607349
0,3,0.05,0.8763748286420715
0,3,0.10,0.4566841446269292
0,3,0.15,0.6899569175181224
0,3,0.20,0.8377702677778405
0,3,0.25,0.7518525396037767
0,3,0.30,0.5555644043706522
0,3,0.35,0.9593323836360579
0,3,0.40,0.804584748879528
0,3,0.45,0.9104889600065592
0,3,0.50,0.8919484704280309
0,3,0.55,0.9470944302844385
0,3,0.60,0.9055016206156075
0,3,0.65,0.8341517726272205
0,3,0.70,0.9344965138878069
0,3,0.75,0.934097556711575
0,3,0.80,0.890463713288907
0,3,0.85,0.9278839174170118
0,3,0.90,0.9586675929107035
0,3,0.95,0.9159766924848023
0,4,0.05,0.08541313543861195
0,4,0.10,0.5076987085265612
0,4,0.15,0.8615983438183905
0,4,0.20,0.9136142193716211
0,4,0.25,0.8679208361305806
0,4,0.30,0.8042728621531475
0,4,0.35,0.9246658409288311
0,4,0.40,0.9398061222134495
0,4,0.45,0.9330754878403502
0,4,0.50,0.9258727557114435
0,4,0.55,0.8555789995074952
0,4,0.60,0.8315565152472907
0,4,0.65,0.8852401388434631
0,4,0.70,0.9401300906334712
0,4,0.75,0.8848236093483858
0,4,0.80,0.9500473634161238
0,4,0.85,0.9333330360565206
0,4,0.90,0.9279295370069578
0,4,0.95,0.9478186425628221
0,5,0.05,0.3664032783694192
0,5,0.10,0.5567255849459471
0,5,0.15,0.6546108676576473
0,5,0.20,0.8830983836349582
0,5,0.25,0.9309807995436226
0,5,0.30,0.7261571354875951
0,5,0.35,0.93659972365777
0,5,0.40,0.9406162733159009
0,5,0.45,0.842814503733154
0,5,0.50,0.8842948503735203
0,5,0.55,0.923278062408379
0,5,0.60,0.8564735797835377
0,5,0.65,0.8727050012704085
0,5,0.70,0.9457654208838886
0,5,0.75,0.9260361980065827
0,5,0.80,0.9164114221474953
0,5,0.85,0.9336410879644077
0,5,0.90,0.9374877575895736
0,5,0.95,0.9386727261830465
0,6,0.05,-0.5706424536501378
0,6,0.10,-0.024560147030633805
0,6,0.15,0.6846393505677291
0,6,0.20,0.9191766193785941
0,6,0.25,0.8883313930291814
0,6,0.30,0.82989572384942
0,6,0.35,0.9031291282786474
0,6,0.40,0.9135893032273035
0,6,0.45,0.8905986807887023
0,6,0.50,0.8563037366648755
0,6,0.55,0.9353545332329366
0,6,0.60,0.9466598367713931
0,6,0.65,0.9276315218202195
0,6,0.70,0.9487071126777408
0,6,0.75,0.9525625860140177
0,6,0.80,0.9544751529149167
0,6,0.85,0.9123057209298525
0,6,0.90,0.9010440651322739
0,6,0.95,0.9187808513428773
0,7,0.05,-0.5495629297003555
0,7,0.10,0.5227867733259381
0,7,0.15,0.818024135677203
0,7,0.20,0.8429017839422724
0,7,0.25,0.6760074624910712
0,7,0.30,0.9694183631805247
0,7,0.35,0.878867937209534
0,7,0.40,0.9161744998858643
0,7,0.45,0.9310881175350422
0,7,0.50,0.9339745077519507
0,7,0.55,0.9417791605899931
0,7,0.60,0.9146415980991973
0,7,0.65,0.9543414015428577
0,7,0.70,0.9466018222551384
0,7,0.75,0.9557248462394692
0,7,0.80,0.9515038919965919
0,7,0.85,0.8957338004069364
0,7,0.90,0.9185597900680925
0,7,0.95,0.9034761626631581
0,8,0.05,0.2112429832864614
0,8,0.10,0.8564901912056112
0,8,0.15,0.7939735030398871
0,8,0.20,0.9186210254549776
0,8,0.25,0.8352486921272698
0,8,0.30,0.8870853883083828
0,8,0.35,0.8602798294455906
0,8,0.40,0.9545691178372926
0,8,0.45,0.8840464616951766
0,8,0.50,0.9610979528118369
0,8,0.55,0.9549008847877094
0,8,0.60,0.9315652401959852
0,8,0.65,0.9051264528837863
0,8,0.70,0.928895788081103
0,8,0.75,0.9269722167906491
0,8,0.80,0.9416550047926078
0,8,0.85,0.8994409085369399
0,8,0.90,0.9465874899120562
0,8,0.95,0.93468415197731
0,9,0.05,0.23867677871802784
0,9,0.10,0.43591464602945507
0,9,0.15,0.8633765616741826
0,9,0.20,0.7057420272599113
0,9,0.25,0.8708741398051656
0,9,0.30,0.9348532474516092
0,9,0.35,0.9482447236759137
0,9,0.40,0.8653924153779287
0,9,0.45,0.9160260308940859
0,9,0.50,0.9442334412674998
0,9,0.55,0.908133756226907
0,9,0.60,0.9530621538174405
0,9,0.65,0.9186281193443224
0,9,0.70,0.9104100623896811
0,9,0.75,0.9242287190415461
0,9,0.80,0.9465553766587849
0,9,0.85,0.9633494014197653
0,9,0.90,0.9153643096365257
0,9,0.95,0.9592533916566036
1,0,0.05,-1.1338458264907105
1,0,0.10,0.3789704152233584
1,0,0.15,0.8483597983056066
1,0,0.20,0.8933388894848989
1,0,0.25,0.8896455998978319
1,0,0.30,0.8967810505593883
1,0,0.35,0.9136536119739325
1,0,0.40,0.9549090549249342
1,0,0.45,0.9454288864564215
1,0,0.50,0.9279416488354424
1,0,0.55,0.9614349437235652
1,0,0.60,0.9192679155001542
1,0,0.65,0.9135059738854621
1,0,0.70,0.9190981873853267
1,0,0.75,0.93066120462162
1,0,0.80,0.9183593866682349
1,0,0.85,0.9397785746234202
1,0,0.90,0.9411687822551567
1,0,0.95,0.9601450613732015
1,1,0.05,-1.620394735596352
1,1,0.10,0.5137349956454327
1,1,0.15,0.8065875633394841
1,1,0.20,0.7828017206732018
1,1,0.25,0.78699215137174
1,1,0.30,0.9216773014755546
1,1,0.35,0.8914526462544997
1,1,0.40,0.9187941751711161
1,1,0.45,0.8810628323730963
1,1,0.50,0.9544309246163476
1,1,0.55,0.9136254359501044
1,1,0.60,0.922601067997011
1,1,0.65,0.9298241249444668
1,1,0.70,0.9170206353074332
1,1,0.75,0.9685342075412625
1,1,0.80,0.9173582356216134
1,1,0.85,0.9575464087355768
1,1,0.90,0.9446171221921026
1,1,0.95,0.948840422970906
1,2,0.05,0.9019332612008317
1,2,0.10,0.7099649482295101
1,2,0.15,0.7559699696950104
